table_name,column_name,column_type
PovCalNetSmy,isInterpolated,
PovCalNetSmy,useMicroData,
PovCalNetSmy,CountryCode,country_code
PovCalNetSmy,CountryName,country_name
PovCalNetSmy,RegionCode,region_code
PovCalNetSmy,CoverageType,
PovCalNetSmy,RequestYear,
PovCalNetSmy,DataYear,
PovCalNetSmy,DataType,
PovCalNetSmy,PPP,
PovCalNetSmy,PovertyLine,
PovCalNetSmy,Mean,
PovCalNetSmy,HeadCount,
PovCalNetSmy,PovGap,
PovCalNetSmy,PovGapSqr,
PovCalNetSmy,Watts,
PovCalNetSmy,Gini,
PovCalNetSmy,Median,
PovCalNetSmy,pr.mld,
PovCalNetSmy,Polarization,
PovCalNetSmy,ReqYearPopulation,
PovCalNetSmy,SvyInfoID,
PovCalNetSmy,Decile1,
PovCalNetSmy,Decile2,
PovCalNetSmy,Decile3,
PovCalNetSmy,Decile4,
PovCalNetSmy,Decile5,
PovCalNetSmy,Decile6,
PovCalNetSmy,Decile7,
PovCalNetSmy,Decile8,
PovCalNetSmy,Decile9,
PovCalNetSmy,Decile10,
PovCalNetAgg,requestYear,
PovCalNetAgg,regionTitle,region_name
PovCalNetAgg,regionCID,region_code
PovCalNetAgg,povertyLine,
PovCalNetAgg,mean,
PovCalNetAgg,hc,
PovCalNetAgg,pg,
PovCalNetAgg,p2,
PovCalNetAgg,population,
PovCalNetP20,isInterpolated,
PovCalNetP20,useMicroData,
PovCalNetP20,CountryCode,country_code
PovCalNetP20,CountryName,country_name
PovCalNetP20,RegionCode,region_code
PovCalNetP20,CoverageType,
PovCalNetP20,RequestYear,
PovCalNetP20,DataYear,
PovCalNetP20,DataType,
PovCalNetP20,PPP,
PovCalNetP20,PovertyLine,
PovCalNetP20,Mean,
PovCalNetP20,HeadCount,
PovCalNetP20,PovGap,
PovCalNetP20,PovGapSqr,
PovCalNetP20,Watts,
PovCalNetP20,Gini,
PovCalNetP20,Median,
PovCalNetP20,pr.mld,
PovCalNetP20,Polarization,
PovCalNetP20,ReqYearPopulation,
PovCalNetP20,SvyInfoID,
PovCalNetP20,Decile1,
PovCalNetP20,Decile2,
PovCalNetP20,Decile3,
PovCalNetP20,Decile4,
PovCalNetP20,Decile5,
PovCalNetP20,Decile6,
PovCalNetP20,Decile7,
PovCalNetP20,Decile8,
PovCalNetP20,Decile9,
PovCalNetP20,Decile10,
PovCalNetDist,i,
PovCalNetDist,P,
PovCalNetDist,L,
PovCalNetDist,svy,
PovCalNetDist,country_code,country_code
PovCalNetDist,year,
wdi,country_name,country_name
wdi,country_code,country_code
wdi,indicator_name,
wdi,indicator_code,
wdi,year,
wdi,value,
crs_current,year,
crs_current,donor_code,country_code
crs_current,donor_name,country_name
crs_current,agency_code,
crs_current,agency_name,
crs_current,crs_id,
crs_current,project_number,
crs_current,initial_report,
crs_current,recipient_code,country_code
crs_current,recipient_name,country_name
crs_current,region_code,region_code
crs_current,region_name,region_name
crs_current,income_group_code,
crs_current,income_group_name,
crs_current,flow_code,
crs_current,flow_name,
crs_current,bilateral_multilateral,
crs_current,category,
crs_current,finance_type,
crs_current,aid_type,
crs_current,usd_commitment,
crs_current,usd_disbursement,
crs_current,usd_received,
crs_current,usd_commitment_deflated,
crs_current,usd_disbursement_deflated,
crs_current,usd_received_deflated,
crs_current,usd_adjustment,
crs_current,usd_adjustment_deflated,
crs_current,usd_amount_untied,
crs_current,usd_amount_partial_tied,
crs_current,usd_amount_tied,
crs_current,usd_amount_untied_deflated,
crs_current,usd_amount_partial_tied_deflated,
crs_current,usd_amount_tied_deflated,
crs_current,usd_irtc,
crs_current,usd_expert_commitment,
crs_current,usd_expert_extended,
crs_current,usd_export_credit,
crs_current,currency_code,
crs_current,commitment_national,
crs_current,disbursement_national,
crs_current,grant_equivalent,
crs_current,usd_grant_equivalent,
crs_current,short_description,
crs_current,project_title,
crs_current,purpose_code,
crs_current,purpose_name,
crs_current,sector_code,
crs_current,sector_name,
crs_current,channel_code,
crs_current,channel_name,
crs_current,channel_reported_name,
crs_current,channel_parent_category,
crs_current,geography,
crs_current,expected_start_date,
crs_current,completion_date,
crs_current,long_description,
crs_current,gender,
crs_current,environment,
crs_current,trade,
crs_current,pdgg,
crs_current,ftc,
crs_current,pba,
crs_current,investment_project,
crs_current,associated_finance,
crs_current,biodiversity,
crs_current,climate_mitigation,
crs_current,climate_adaptation,
crs_current,desertification,
crs_current,commitment_date,
crs_current,type_repayment,
crs_current,number_repayment,
crs_current,interest_1,
crs_current,interest_2,
crs_current,repay_date_1,
crs_current,repay_date_2,
crs_current,grant_element,
crs_current,usd_interest,
crs_current,usd_outstanding,
crs_current,usd_arrears_principal,
crs_current,usd_arrears_interest,
crs_current,usd_future_debt_service_principal,
crs_current,usd_future_debt_service_interest,
crs_current,rmnch,
crs_current,budget_identifier,
crs_current,capital_expenditure,
dac1_current,donor_code,country_code
dac1_current,donor_name,country_name
dac1_current,part_code,
dac1_current,part_name,
dac1_current,aid_type_code,
dac1_current,aid_type_name,
dac1_current,flows,
dac1_current,fund_flows,
dac1_current,amount_type_code,
dac1_current,amount_type_name,
dac1_current,time,
dac1_current,year,
dac1_current,value,
dac1_current,flags,
dac2a_current,recipient_code,country_code
dac2a_current,recipient_name,country_name
dac2a_current,donor_code,country_code
dac2a_current,donor_name,country_name
dac2a_current,part_code,
dac2a_current,part_name,
dac2a_current,aid_type_code,
dac2a_current,aid_type_name,
dac2a_current,data_type,
dac2a_current,amount_type,
dac2a_current,time,
dac2a_current,year,
dac2a_current,value,
dac2a_current,flags,
dac2b_current,recipient_code,country_code
dac2b_current,recipient_name,country_name
dac2b_current,donor_code,country_code
dac2b_current,donor_name,country_name
dac2b_current,part_code,
dac2b_current,part_name,
dac2b_current,aid_type_code,
dac2b_current,aid_type_name,
dac2b_current,data_type,
dac2b_current,amount_type,
dac2b_current,time,
dac2b_current,year,
dac2b_current,value,
dac2b_current,flags,
dac5_current,donor_code,country_code
dac5_current,donor_name,country_name
dac5_current,sector_code,
dac5_current,sector_name,
dac5_current,aid_type_code,
dac5_current,aid_type_name,
dac5_current,amount_type_code,
dac5_current,amount_type_name,
dac5_current,time,
dac5_current,year,
dac5_current,value,
dac5_current,flags,
weo,WEO.Country.Code,
weo,ISO,
weo,WEO.Subject.Code,
weo,Country,
weo,Subject.Descriptor,
weo,Subject.Notes,
weo,Units,
weo,Scale,
weo,Country.Series.specific.Notes,
weo,Estimates.Start.After,
weo,value,
weo,year,
fts,id,
fts,amountUSD,
fts,budgetYear,
fts,createdAt,
fts,date,
fts,decisionDate,
fts,description,
fts,firstReportedDate,
fts,flowType,
fts,newMoney,
fts,originalCurrency,
fts,method,
fts,parentFlowId,
fts,status,
fts,updatedAt,
fts,versionId,
fts,boundary,
fts,onBoundary,
fts,source_Organization_id,
fts,source_UsageYear_id,
fts,source_Organization_name,
fts,source_UsageYear_name,
fts,destination_Plan_id,
fts,destination_Organization_id,
fts,destination_GlobalCluster_id,
fts,destination_Location_id,country_code
fts,destination_Project_id,
fts,destination_UsageYear_id,
fts,destination_Plan_name,
fts,destination_Organization_name,
fts,destination_GlobalCluster_name,
fts,destination_Location_name,country_name
fts,destination_Project_name,
fts,destination_UsageYear_name,
fts,report_type,
fts,report_organisation,
fts,report_channel,
fts,report_date,
fts,originalAmount,
fts,source_Location_id,country_code
fts,source_Location_name,country_name
fts,destination_Emergency_id,
fts,destination_Emergency_name,
fts,refCode,
fts,source_GlobalCluster_id,
fts,source_GlobalCluster_name,
fts,exchangeRate,
fts,source_Plan_id,
fts,source_Plan_name,
fts,grandBargainEarmarkingType,
fts,source_Emergency_id,
fts,source_Emergency_name,
fts,source_Project_id,
fts,source_Project_name,
fts,destination_Cluster_id,
fts,destination_Cluster_name,
fts,source_Cluster_id,
fts,source_Cluster_name,
