"country_name","country_code"
,"ALB"
,"DZA"
,"AGO"
,"ARG"
,"ARM"
,"AUS"
,"AUT"
,"AZE"
,"BGD"
,"BLR"
,"BEL"
,"BLZ"
,"BEN"
,"BTN"
,"BOL"
,"BIH"
,"BWA"
,"BRA"
,"BGR"
,"BFA"
,"BDI"
,"CPV"
,"CMR"
,"CAN"
,"CAF"
,"TCD"
,"CHL"
,"CHN"
,"COL"
,"COM"
,"COD"
,"COG"
,"CRI"
,"CIV"
,"HRV"
,"CYP"
,"CZE"
,"DNK"
,"DJI"
,"DOM"
,"ECU"
,"EGY"
,"SLV"
,"EST"
,"SWZ"
,"ETH"
,"FJI"
,"FIN"
,"FRA"
,"GAB"
,"GMB"
,"GEO"
,"DEU"
,"GHA"
,"GRC"
,"GTM"
,"GIN"
,"GNB"
,"GUY"
,"HTI"
,"HND"
,"HUN"
,"ISL"
,"IND"
,"IDN"
,"IRN"
,"IRQ"
,"IRL"
,"ISR"
,"ITA"
,"JAM"
,"JPN"
,"JOR"
,"KAZ"
,"KEN"
,"KIR"
,"KOR"
,"XKX"
,"KGZ"
,"LAO"
,"LVA"
,"LBN"
,"LSO"
,"LBR"
,"LTU"
,"LUX"
,"MKD"
,"MDG"
,"MWI"
,"MYS"
,"MDV"
,"MLI"
,"MLT"
,"MRT"
,"MUS"
,"MEX"
,"FSM"
,"MDA"
,"MNG"
,"MNE"
,"MAR"
,"MOZ"
,"MMR"
,"NAM"
,"NPL"
,"NLD"
,"NIC"
,"NER"
,"NGA"
,"NOR"
,"PAK"
,"PAN"
,"PNG"
,"PRY"
,"PER"
,"PHL"
,"POL"
,"PRT"
,"ROU"
,"RUS"
,"RWA"
,"WSM"
,"STP"
,"SEN"
,"SRB"
,"SYC"
,"SLE"
,"SVK"
,"SVN"
,"SLB"
,"ZAF"
,"SSD"
,"ESP"
,"LKA"
,"LCA"
,"SDN"
,"SUR"
,"SWE"
,"CHE"
,"SYR"
,"TJK"
,"TZA"
,"THA"
,"TLS"
,"TGO"
,"TON"
,"TTO"
,"TUN"
,"TUR"
,"TKM"
,"TUV"
,"UGA"
,"UKR"
,"GBR"
,"USA"
,"URY"
,"UZB"
,"VUT"
,"VEN"
,"VNM"
,"PSE"
,"YEM"
,"ZMB"
,"ZWE"
