channel_parent_category_code,channel_id_code,year_added,acronym_eng,oecd_channel_name,oecd_channel_parent_name,oecd_aggregated_channel,coefficient_for_core_contributions,general_contributions_reported_as_type_of_aid,mcd_major_channel_of_delivery,references_notes
21000,21503,2018,FHI360,Family Health International 360,International NGO,Non-Governmental Organisations and Civil Society,Not assessed,B01,Not MCD,Added as part of the Channel Pilot: DCD/DAC/STAT(2014)9.
21000,21011,2018,GCE,Global Campaign for Education ,International NGO,Non-Governmental Organisations and Civil Society,100,B01,Not MCD,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2004)3
21000,21013,2018,HAI,Health Action International ,International NGO,Non-Governmental Organisations and Civil Society,100,B01,Not MCD,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2000)4
21000,21024,2018,IPS,"Inter Press Service, International Association ",International NGO,Non-Governmental Organisations and Civil Society,100,B01,Not MCD,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2004)3
21000,21038,2018,,International Alert,International NGO,Non-Governmental Organisations and Civil Society,100,B01,Not MCD,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2007)7
21000,21057,2018,ICTJ,International Centre for Transitional Justice,International NGO,Non-Governmental Organisations and Civil Society,100,B01,Not MCD,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2008)10
21000,21016,2018,ICRC,International Committee of the Red Cross ,International NGO,Non-Governmental Organisations and Civil Society,100,B01,MCD,
21000,21044,2018,ICCIDD,International Council for the Control of Iodine Deficiency Disorders,International NGO,Non-Governmental Organisations and Civil Society,100,B01,Not MCD,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Reclassified:  DCD/DAC/STAT(2008)10
21000,21018,2018,IFRCRCS,International Federation of Red Cross and Red Crescent Societies ,International NGO,Non-Governmental Organisations and Civil Society,100,B01,MCD,Reviewed and confirmed the channel category classification:  DCD/DAC/STAT(2012)9.  Added:  DCD/DAC/STAT(2001)9
21000,21020,2018,,International HIV/AIDS Alliance ,International NGO,Non-Governmental Organisations and Civil Society,100,B01,MCD,Added:  DCD/DAC/STAT(2003)2
21000,21022,2018,INAFI,International Network for Alternative Financial Institutions ,International NGO,Non-Governmental Organisations and Civil Society,100,B01,Not MCD,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2004)3
21000,21042,2018,Interpeace,International Peacebuilding Alliance,International NGO,Non-Governmental Organisations and Civil Society,100,B01,Not MCD,"Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Renamed:  DCD/DAC/STAT(2008)5, Added:  DCD/DAC/STAT(2006)15 Replaces WSP International"
21000,21023,2018,IPPF,International Planned Parenthood Federation ,International NGO,Non-Governmental Organisations and Civil Society,100,B01,MCD,
21000,21061,2018,IRCT,International Rehabilitation Council for Torture Victims,International NGO,Non-Governmental Organisations and Civil Society,100,B01,Not MCD,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2011)16
21000,21504,2018,IRD,International Relief and Development,International NGO,Non-Governmental Organisations and Civil Society,Not assessed,B01,Not MCD,Added as part of the Channel Pilot: DCD/DAC/STAT(2014)9.
21000,21506,2018,IRC,International Rescue Committee,International NGO,Non-Governmental Organisations and Civil Society,Not assessed,B01,Not MCD,Added as part of the Channel Pilot: DCD/DAC/STAT(2014)9.
21000,21034,2018,UNION,International Union Against Tuberculosis and Lung Disease ,International NGO,Non-Governmental Organisations and Civil Society,100,B01,MCD,Renamed:  DCD/DAC/STAT(2004)3
21000,21053,2018,,"IPAS-Protecting Women's Health, Advancing Women's Reproductive Rights",International NGO,Non-Governmental Organisations and Civil Society,100,B01,Not MCD,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2008)10
21000,21054,2018,LPI,Life and Peace Institute,International NGO,Non-Governmental Organisations and Civil Society,100,B01,Not MCD,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2008)10
21000,21501,2018,OXFAM-I,OXFAM International,International NGO,Non-Governmental Organisations and Civil Society,Not assessed,B01,Not MCD,Added as part of the Channel Pilot: DCD/DAC/STAT(2014)9.
21000,21507,2018,PACT,Pact World,International NGO,Non-Governmental Organisations and Civil Society,Not assessed,B01,Not MCD,Added as part of the Channel Pilot: DCD/DAC/STAT(2014)9.
21000,21031,2018,PANOS,PANOS Institute ,International NGO,Non-Governmental Organisations and Civil Society,100,B01,Not MCD,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2004)3
21000,21032,2018,PSI,Population Services International ,International NGO,Non-Governmental Organisations and Civil Society,100,B01,MCD,Added:  DCD/DAC/STAT(2003)2
21000,21505,2018,,Save the Children,International NGO,Non-Governmental Organisations and Civil Society,Not assessed,B01,Not MCD,Added as part of the Channel Pilot: DCD/DAC/STAT(2014)9.
21000,21041,2018,SID,Society for International Development,International NGO,Non-Governmental Organisations and Civil Society,100,B01,Not MCD,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2006)15
21000,21062,2018,TNC,The Nature Conservancy,International NGO,Non-Governmental Organisations and Civil Society,12,B01,MCD,Added:  DCD/DAC/STAT(2015)20
21000,21036,2018,WUS,World University Service ,International NGO,Non-Governmental Organisations and Civil Society,100,B01,Not MCD,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.
21000,21502,2018,,World Vision,International NGO,Non-Governmental Organisations and Civil Society,Not assessed,B01,Not MCD,Added as part of the Channel Pilot: DCD/DAC/STAT(2014)9.
21000,21064,2020,CHAI,"Clinton Health Access Initiative, Inc. ",International NGO,Non-Governmental Organisations and Civil Society,100,B01,,Added: DCD/DAC/STAT(2019)34 
22000,22000,,,Donor country-based NGO,Donor country-based NGO,Non-Governmental Organisations and Civil Society,,,,
22000,21047,2018,,AgriCord,Donor country-based NGO,Non-Governmental Organisations and Civil Society,100,B01,Not MCD,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2008)10
22000,21060,2018,APT,Association for the Prevention of Torture,Donor country-based NGO,Non-Governmental Organisations and Civil Society,100,B01,Not MCD,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2011)16
22000,21006,2018,,Development Gateway Foundation ,Donor country-based NGO,Non-Governmental Organisations and Civil Society,100,B01,Not MCD,
22000,21049,2018,ECDPM,European Centre for Development Policy Management ,Donor country-based NGO,Non-Governmental Organisations and Civil Society,100,B01,Not MCD,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2008)10
22000,21008,2018,Eurostep,Eurostep ,Donor country-based NGO,Non-Governmental Organisations and Civil Society,100,B01,Not MCD,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2005)9
22000,47042,2018,FIT,Foundation for International Training ,Donor country-based NGO,Non-Governmental Organisations and Civil Society,100,B01,Not MCD,Change of channel category:  DCD/DAC/STAT(2012)6/REV1
22000,21050,2018,,Geneva Call,Donor country-based NGO,Non-Governmental Organisations and Civil Society,100,B01,Not MCD,
22000,21014,2018,HURIDOCS,Human Rights Information and Documentation Systems ,Donor country-based NGO,Non-Governmental Organisations and Civil Society,100,B01,Not MCD,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2000)4
22000,21015,2018,ICRA,International Catholic Rural Association ,Donor country-based NGO,Non-Governmental Organisations and Civil Society,100,B01,Not MCD,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.
22000,21058,2018,ICG,International Crisis Group,Donor country-based NGO,Non-Governmental Organisations and Civil Society,100,B01,Not MCD,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added: DCD/DAC/STAT(2010)5
22000,21019,2018,IFS,International Federation of Settlements and Neighbourhood Centres ,Donor country-based NGO,Non-Governmental Organisations and Civil Society,100,B01,Not MCD,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.
22000,21025,2018,ISC,International Seismological Centre ,Donor country-based NGO,Non-Governmental Organisations and Civil Society,100,B01,Not MCD,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.
22000,21026,2018,ISHR,International Service for Human Rights ,Donor country-based NGO,Non-Governmental Organisations and Civil Society,100,B01,Not MCD,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2000)4
22000,21040,2018,IWTC,International Women's Tribune Centre,Donor country-based NGO,Non-Governmental Organisations and Civil Society,100,B01,Not MCD,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2007)7 and  DCD/DAC/STAT(2008)10
22000,21027,2018,ITF,ITF Enhancing Human Security ,Donor country-based NGO,Non-Governmental Organisations and Civil Society,100,B01,Not MCD,Renamed:  DCD/DAC/STAT(2017)13.  Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2004)3
22000,22501,2018,OXFAM,OXFAM - provider country office,Donor country-based NGO,Non-Governmental Organisations and Civil Society,Not assessed,B01,Not MCD,Added as part of the Channel Pilot: DCD/DAC/STAT(2014)9.
22000,22502,2018,,Save the Children - donor country office,Donor country-based NGO,Non-Governmental Organisations and Civil Society,Not assessed,B01,Not MCD,Added as part of the Channel Pilot: DCD/DAC/STAT(2014)9.
22000,21033,2018,TI,Transparency International ,Donor country-based NGO,Non-Governmental Organisations and Civil Society,100,B01,Not MCD,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.
22000,21037,2018,WWB,Women's World Banking,Donor country-based NGO,Non-Governmental Organisations and Civil Society,100,B01,Not MCD,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2004)3
22000,21035,2018,OMCT,World Organisation Against Torture ,Donor country-based NGO,Non-Governmental Organisations and Civil Society,100,B01,Not MCD,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2000)4  Replaces WOAT
23000,23000,,,Developing country-based NGO ,Developing country-based NGO ,Non-Governmental Organisations and Civil Society,,,,
23000,21059,2018,ASF,Africa Solidarity Fund,Developing country-based NGO ,Non-Governmental Organisations and Civil Society,100,B01,Not MCD,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Change of channel category (formerly channel code 46001 under Regional Development Banks): DCD/DAC/STAT(2010)5
23000,21048,2018,AAU,Association of African Universities,Developing country-based NGO ,Non-Governmental Organisations and Civil Society,100,B01,Not MCD,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2008)10
23000,21010,2018,FAWE,Forum for African Women Educationalists ,Developing country-based NGO ,Non-Governmental Organisations and Civil Society,100,B01,Not MCD,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2004)3
23000,21051,2018,ISPEC,Institut Supérieur Panafricaine d'Economie Coopérative,Developing country-based NGO ,Non-Governmental Organisations and Civil Society,100,B01,Not MCD,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2008)10
23000,21028,2018,IUEF,International University Exchange Fund - IUEF Stip. in Africa and Latin America,Developing country-based NGO ,Non-Governmental Organisations and Civil Society,100,B01,Not MCD,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  
23000,21003,2018,CLASCO,Latin American Council for Social Sciences ,Developing country-based NGO ,Non-Governmental Organisations and Civil Society,100,B01,Not MCD,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  
23000,23501,2018,,National Red Cross and Red Crescent Societies,Developing country-based NGO ,Non-Governmental Organisations and Civil Society,,B01,MCD,Added as part of the Channel Pilot:  DCD/DAC/STAT(2017)13
23000,21030,2018,PAID,Pan African Institute for Development,Developing country-based NGO ,Non-Governmental Organisations and Civil Society,100,B01,Not MCD,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  
23000,21055,2018,RATN,Regional AIDS Training Network,Developing country-based NGO ,Non-Governmental Organisations and Civil Society,100,B01,Not MCD,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2008)10
30000,30000,,,Public-Private Partnerships and Networks,Public-Private Partnerships and Networks,Public-Private Partnerships and Networks,,,,
31000,31000,,,Public-Private Partnership (PPP),Public-Private Partnership (PPP),Public-Private Partnerships and Networks,,,,
31000,30008,2018,,Cities Alliance,Public-Private Partnership (PPP),Public-Private Partnerships and Networks,100,B01,MCD,Added:  DCD/DAC/STAT(2006)15
31000,31006,2018,CEPI,Coalition for Epidemic Preparedness Innovations,Public-Private Partnership (PPP),Public-Private Partnerships and Networks,100,B01,Not MCD,ODA-eligible but not added to Annex 2 List; channel code created in single table [DCD/DAC/STAT(2018)35].
31000,30016,2018,EFSE,European Fund for Southeast Europe,Public-Private Partnership (PPP),Public-Private Partnerships and Networks,100,B01,MCD,Added:  DCD/DAC/STAT(2012)9
31000,30007,2018,GAID,Global Alliance for ICT and Development,Public-Private Partnership (PPP),Public-Private Partnerships and Networks,100,B01,MCD,Added:  DCD/DAC/STAT(2007)7
31000,30001,2018,GAIN,Global Alliance for Improved Nutrition ,Public-Private Partnership (PPP),Public-Private Partnerships and Networks,100,B01,MCD,Added:  DCD/DAC/STAT(2003)2
31000,30012,2018,GCPF,Global Climate Partnership Fund,Public-Private Partnership (PPP),Public-Private Partnerships and Networks,100,B01,MCD,Added: DCD/DAC/STAT(2010)5
31000,47043,2018,,Global Crop Diversity Trust ,Public-Private Partnership (PPP),Public-Private Partnerships and Networks,100,B01,MCD,Change of Channel Category:  DCD/DAC/STAT(2012)6/REV1. Renamed:  DCD/DAC/STAT(2005)9
31000,30015,2018,GEEREF,Global Energy Efficiency and Renewable Energy Fund,Public-Private Partnership (PPP),Public-Private Partnerships and Networks,100,B01,MCD,"Change of channel category (formerly 42006 under EU Institutions): DCD/DAC/STAT(2010)5.  Moved from ""Other Multilateral Institutions"" and code 47114 deleted. Now under EC as stated in DCD/DAC/STAT(2008)10; Added:  DCD/DAC/STAT(2008)10"
31000,30003,2018,GeSCI,Global e-Schools and Communities Initiative ,Public-Private Partnership (PPP),Public-Private Partnerships and Networks,100,B01,MCD,Added:  DCD/DAC/STAT(2005)9
31000,30004,2018,GWP,Global Water Partnership ,Public-Private Partnership (PPP),Public-Private Partnerships and Networks,100,B01,MCD,Added:  DCD/DAC/STAT(2004)3
31000,30005,2018,IAVI,International AIDS Vaccine Initiative ,Public-Private Partnership (PPP),Public-Private Partnerships and Networks,100,B01,MCD,Added:  DCD/DAC/STAT(2003)2
31000,30006,2018,IPM,International Partnership on Microbicides ,Public-Private Partnership (PPP),Public-Private Partnerships and Networks,100,B01,MCD,Added:  DCD/DAC/STAT(2003)2
31000,30011,2018,IUCN,International Union for the Conservation of Nature,Public-Private Partnership (PPP),Public-Private Partnerships and Networks,100,B01,MCD,Reclassified:  DCD/DAC/STAT(2008)10 
31000,30013,2018,MEF,Microfinance Enhancement Facility,Public-Private Partnership (PPP),Public-Private Partnerships and Networks,100,B01,MCD,Added: DCD/DAC/STAT(2010)5
31000,30014,2018,REGMIFA,"Regional Micro, Small and Medium Enterprise Investment Fund for Sub-Saharan Africa",Public-Private Partnership (PPP),Public-Private Partnerships and Networks,100,B01,MCD,Added: DCD/DAC/STAT(2010)5
31000,21056,2018,REEEP,Renewable Energy and Energy Efficiency Partnership,Public-Private Partnership (PPP),Public-Private Partnerships and Networks,100,B01,MCD,Channel category changed:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2008)10
31000,30017,2018,SANAD,"SANAD Fund for Micro, Small and Medium Enterprises",Public-Private Partnership (PPP),Public-Private Partnerships and Networks,100,B01,MCD,Added:  DCD/DAC/STAT(2012)9
31000,30009,2018,SAS,Small Arms Survey,Public-Private Partnership (PPP),Public-Private Partnerships and Networks,100,B01,MCD,Added:  DCD/DAC/STAT(2007)7
32000,32000,,,Network,Network,Public-Private Partnerships and Networks,,,,
32000,47010,2018,CAPAM,Commonwealth Agency for Public Administration and Management ,Network,Public-Private Partnerships and Networks,100,B01,MCD,Change of Channel Category:  DCD/DAC/STAT(2012)6/REV1.  Added:  DCD/DAC/STAT(2012)6/REV1
32000,47028,2018,CPTM,Commonwealth Partnership for Technical Management ,Network,Public-Private Partnerships and Networks,100,B01,MCD,Changed channel category:  Summary Record of 2012 WP-STAT meeting.
32000,21043,2018,AWEPA,European Parliamentarians for Africa,Network,Public-Private Partnerships and Networks,100,B01,MCD,Channel category changed:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2006)15
32000,31004,2018,EITI,Extractive Industries Transparency Initiative International Secretariat,Network,Public-Private Partnerships and Networks,100,B01,MCD,Added: DCD/DAC/STAT(2010)5
32000,31001,2018,GDN,Global Development Network,Network,Public-Private Partnerships and Networks,100,B01,MCD,Added:  DCD/DAC/STAT(2007)7
32000,31002,2018,GKP,Global Knowledge Partnership,Network,Public-Private Partnerships and Networks,100,B01,MCD,Added:  DCD/DAC/STAT(2005)9
32000,21017,2018,ICTSD,International Centre for Trade and Sustainable Development ,Network,Public-Private Partnerships and Networks,100,B01,MCD,Channel category changed:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2005)9
32000,31003,2018,ILC,International Land Coalition,Network,Public-Private Partnerships and Networks,100,B01,MCD,Added: DCD/DAC/STAT(2010)5
32000,31005,2018,PNoWB,Parliamentary Network on the World Bank,Network,Public-Private Partnerships and Networks,100,B01,Not MCD,"Not a major channel of delivery, channel category changed:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2010)5"
40000,40000,,,Multilateral Organisations,Multilateral Organisations,Multilateral Organisations,,,,
41000,41000,,,"United Nations agency, fund or commission (UN)","United Nations Agency, Fund Or Commission (UN)",Multilateral Organisations,,,,
41000,41147,2018,CERF,Central Emergency Response Fund,"United Nations Agency, Fund Or Commission (UN)",Multilateral Organisations,100,B02,MCD,Added:  DCD/DAC/STAT(2011)16
41000,41101,2018,UNCCD,Convention to Combat Desertification ,"United Nations Agency, Fund Or Commission (UN)",Multilateral Organisations,100,B02,MCD,Renamed:  DCD/DAC/STAT(2008)5
41000,41102,2018,DLCO-EA,Desert Locust Control Organisation for Eastern Africa ,"United Nations Agency, Fund Or Commission (UN)",Multilateral Organisations,100,B02,MCD,
41000,41106,2018,ESCAP,Economic and Social Commission for Asia and the Pacific ,"United Nations Agency, Fund Or Commission (UN)",Multilateral Organisations,100,B02,MCD,
41000,41105,2018,ESCWA,Economic and Social Commission for Western Asia,"United Nations Agency, Fund Or Commission (UN)",Multilateral Organisations,100,B02,MCD,Renamed:  DCD/DAC/STAT(2006)15
41000,41103,2018,ECA,Economic Commission for Africa ,"United Nations Agency, Fund Or Commission (UN)",Multilateral Organisations,100,B02,MCD,
41000,41104,2018,ECLAC,Economic Commission for Latin America and the Caribbean,"United Nations Agency, Fund Or Commission (UN)",Multilateral Organisations,100,B02,MCD,Renamed:  DCD/DAC/STAT(2006)15
41000,41301,2018,FAO,Food and Agricultural Organisation,"United Nations Agency, Fund Or Commission (UN)",Multilateral Organisations,83,B02,MCD,Coefficient increased from 51%:  DCD/DAC/STAT(2019)17.  Request to increase coefficient to 66% was rejected by WP-STAT: DCD/DAC/STAT(2010)5.  Coefficient agreed:  DCD/DAC/STAT(2003)2
41000,41318,2018,GM,Global Mechanism,"United Nations Agency, Fund Or Commission (UN)",Multilateral Organisations,100,B02,MCD,Added:  DCD/DAC/STAT(2015)22
41000,41312,2018,IAEA-Assessed,International Atomic Energy Agency - assessed contributions,"United Nations Agency, Fund Or Commission (UN)",Multilateral Organisations,33,B02,MCD,Added:  DCD/DAC/STAT(2009)6
41000,41107,2018,IAEA-TCF,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),"United Nations Agency, Fund Or Commission (UN)",Multilateral Organisations,100,B02,MCD,Renamed:  DCD/DAC/STAT(2008)10
41000,41108,2018,IFAD,International Fund for Agricultural Development ,"United Nations Agency, Fund Or Commission (UN)",Multilateral Organisations,100,B02,MCD,
41000,41302,2018,ILO-Assessed,International Labour Organisation - Assessed Contributions,"United Nations Agency, Fund Or Commission (UN)",Multilateral Organisations,60,B02,MCD,Coefficient increased from 15%: DCD/DAC/STAT(2010)5
41000,41144,2018,ILO-RBSA,International Labour Organisation - Regular Budget Supplementary Account,"United Nations Agency, Fund Or Commission (UN)",Multilateral Organisations,100,B02,MCD,Added: DCD/DAC/STAT(2010)5
41000,41145,2018,IMO-TCF,International Maritime Organization - Technical Co-operation Fund,"United Nations Agency, Fund Or Commission (UN)",Multilateral Organisations,100,B02,MCD,
41000,41303,2018,ITU,International Telecommunications Union,"United Nations Agency, Fund Or Commission (UN)",Multilateral Organisations,18,B02,MCD,
41000,41110,2018,UNAIDS,Joint United Nations Programme on HIV/AIDS ,"United Nations Agency, Fund Or Commission (UN)",Multilateral Organisations,100,B02,MCD,
41000,41320,2018,UN-TBLDC,Technology Bank for Least Developed Countries,"United Nations Agency, Fund Or Commission (UN)",Multilateral Organisations,100,B02,MCD,Added:  DCD/DAC/STAT(2018)35
41000,41305,2018,UN,United Nations,"United Nations Agency, Fund Or Commission (UN)",Multilateral Organisations,18,B02,MCD,Coefficient increased from 12%: DCD/DAC/STAT(2013)12; Renamed:  DCD/DAC/STAT(2008)5
41000,41111,2018,UNCDF,United Nations Capital Development Fund ,"United Nations Agency, Fund Or Commission (UN)",Multilateral Organisations,100,B02,MCD,Added:  DCD/DAC/STAT(2001)6
41000,41122,2018,UNICEF,United Nations Children's Fund ,"United Nations Agency, Fund Or Commission (UN)",Multilateral Organisations,100,B02,MCD,
41000,41112,2018,UNCTAD,United Nations Conference on Trade and Development ,"United Nations Agency, Fund Or Commission (UN)",Multilateral Organisations,100,B02,MCD,
41000,41142,2018,UNDEF,United Nations Democracy Fund,"United Nations Agency, Fund Or Commission (UN)",Multilateral Organisations,100,B02,MCD,Added: DCD/DAC/STAT(2008)10
41000,41135,2018,UNV,United Nations Volunteers ,"United Nations Agency, Fund Or Commission (UN)",Multilateral Organisations,100,B02,MCD,
41000,41306,2018,UPU,Universal Postal Union ,"United Nations Agency, Fund Or Commission (UN)",Multilateral Organisations,16,B02,MCD,Coefficient agreed:  DCD/DAC/STAT(2003)2
41000,41503,2018,UN-CBPF,UN-led Country-based Pooled Funds,"United Nations Agency, Fund Or Commission (UN)",Multilateral Organisations,,B03,MCD,Added as part of the Channel Pilot:  DCD/DAC/STAT(2017)13
41000,41140,2018,WFP,World Food Programme ,"United Nations Agency, Fund Or Commission (UN)",Multilateral Organisations,100,B02,MCD,
41000,41310,2018,UNDPKO,"United Nations Department of Peacekeeping Operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.","United Nations Agency, Fund Or Commission (UN)",Multilateral Organisations,15,B02,MCD,List of eligible operations adjusted to reflect MINUJUSTH as a follow-on mission to MINUSTAH which terminated in 2017 (updated 2019).  Revised coefficient (increased from 7%):  DCD/DAC(2017)24.  MINUSCA added:  DCD/DAC/STAT(2015)20. Coefficient increased from 6%: DCD/DAC/STAT/RD(2013)1/RD6. Coefficient reviewed and confirmed:  DCD/DAC/STAT(2012)3. Coefficient decreased from 7% and name updated: DCD/DAC/STAT(2010)9. Revised to exclude certain missions: DCD/DAC/STAT(2009)8; Renamed:  DCD/DAC/STAT(2008)5.  Coefficient agreed:  DCD/DAC/STAT(2007)8 and DCD/DAC/STAT(2006)4.
41000,41148,2018,UNDPA-SZA,"United Nations Department of Political Affairs, Trust Fund in Support of Political Affairs","United Nations Agency, Fund Or Commission (UN)",Multilateral Organisations,100,B02,MCD,
41000,41114,2018,UNDP,United Nations Development Programme ,"United Nations Agency, Fund Or Commission (UN)",Multilateral Organisations,100,B02,MCD,
41000,41314,2018,UNECE,United Nations Economic Commission for Europe (extrabudgetary contributions only),"United Nations Agency, Fund Or Commission (UN)",Multilateral Organisations,89,B02,MCD,Added: DCD/DAC/STAT(2009)6
