channel_parent_category_code,channel_id_code,year_added,acronym_eng,oecd_channel_name,oecd_channel_parent_name,oecd_aggregated_channel,coefficient_for_core_contributions,general_contributions_reported_as_type_of_aid,mcd_major_channel_of_delivery,references_notes
10000,10000,,,Public sector institutions,Public sector institutions,Public sector institutions,,,,
11000,11000,,,Donor Government,Donor Government,Public sector institutions,,,,
11000,11001,2018,,Central Government,Donor Government,Public sector institutions,,,MCD,DCD/DAC/STAT(2015)14/REV1
11000,11002,2018,,Local Government,Donor Government,Public sector institutions,,,MCD,DCD/DAC/STAT(2015)14/REV1
11000,11003,2018,,Public corporations,Donor Government,Public sector institutions,,,MCD,DCD/DAC/STAT(2015)14/REV1
11000,11004,2018,,Other public entities in donor country,Donor Government,Public sector institutions,,,MCD,DCD/DAC/STAT(2015)14/REV1
12000,12000,,,Recipient Government,Recipient Government,Public sector institutions,,,,
12000,12001,2018,,Central Government,Recipient Government,Public sector institutions,,,MCD,DCD/DAC/STAT(2015)14/REV1
12000,12002,2018,,Local Government,Recipient Government,Public sector institutions,,,MCD,DCD/DAC/STAT(2015)14/REV1
12000,12003,2018,,Public corporations,Recipient Government,Public sector institutions,,,MCD,DCD/DAC/STAT(2015)14/REV1
12000,12004,2018,,Other public entities in recipient country,Recipient Government,Public sector institutions,,,MCD,DCD/DAC/STAT(2015)14/REV1
13000,13000,,,Third Country Government (Delegated co-operation),Third Country Government (Delegated co-operation),Public sector institutions,,,,
20000,20000,,,Non-Governmental Organisations and Civil Society,Non-Governmental Organisations and Civil Society,Non-Governmental Organisations and Civil Society,,,,
21000,21000,,,International NGO,International NGO,Non-Governmental Organisations and Civil Society,,,,
21000,21045,2018,AMREF,African Medical and Research Foundation ,International NGO,Non-Governmental Organisations and Civil Society,100,B01,MCD,Added:  DCD/DAC/STAT(2008)10
21000,21046,2018,ACORD,Agency for Cooperation and Research in Development ,International NGO,Non-Governmental Organisations and Civil Society,100,B01,Not MCD,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2008)10
21000,21001,2018,AGID,Association of Geoscientists for International Development ,International NGO,Non-Governmental Organisations and Civil Society,100,B01,Not MCD,
21000,21063,2018,CI,Conservation International,International NGO,Non-Governmental Organisations and Civil Society,79,B01,MCD,Added:  DCD/DAC/STAT(2017)13
21000,21005,2018,CUTS,Consumer Unity and Trust Society International ,International NGO,Non-Governmental Organisations and Civil Society,100,B01,Not MCD,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2005)9
21000,21029,2018,MSF,Doctors Without Borders,International NGO,Non-Governmental Organisations and Civil Society,100,B01,MCD,Added:  DCD/DAC/STAT(2002)3
21000,47035,2018,ENDA,Environmental Development Action in the Third World ,International NGO,Non-Governmental Organisations and Civil Society,100,B01,MCD,Change of Channel Category:  DCD/DAC/STAT(2012)6/REV1.  
21000,21007,2018,ELCI,Environmental Liaison Centre International ,International NGO,Non-Governmental Organisations and Civil Society,100,B01,Not MCD,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2004)3
