deflatortype,Deflators
GB 2019 | 2020 | 2021 | 2022 | 2023,1
DE 2020 | 2017 | 2018 | 2019,1
Total DAC 2020 | 2017 | 2018 | 2019,1
DE 2020 | 2018 | 2019,1
Total DAC 2020 | 2018 | 2019,1
DE 2020 | 2019,1
LU 2020 | 2019,1
Total DAC 2020 | 2019,1
DE 2020 | 2019 | 2017 | 2018,1
BE 2020 | 2019 | 2018,1
DE 2020 | 2019 | 2018,1
LU 2020 | 2019 | 2018,1
Total DAC 2020 | 2019 | 2018,1
DE 2020 | 2019 | 2018 | 2017,1
DE 2020 | 2019 | 2018 | 2017 | 2016,1
Total DAC 2020 | 2019 | 2021,1
DE 2020 | 2019 | 2021,1
DE 2020 | 2021,1
DE 2020 | 2021 | 2019,1
DE 2021 | 2019 | 2020,1
DE 2021 | 2020,1
DE 2021 | 2020 | 2018 | 2019,1
DE 2021 | 2020 | 2019,1
GB 2021 | 2020 | 2019,1
DE 2021 | 2020 | 2019 | 2018,1
DE 2021 | 2020 | 2019 | 2018 | 2017,1
DE 2022 | 2021 | 2020,1
DE 2022 | 2021 | 2020 | 2019,1
GB 2022 | 2021 | 2020 | 2019,1
Total DAC 2022 | 2021 | 2020 | 2019,1
GB 2022 | 2023 | 2019 | 2020 | 2021,1
GB 2023 | 2022 | 2021 | 2020 | 2019,1
 ,1
Total DAC,1
Total DAC 1986,1
AF 1999,1
AX 1999,0.65950165
AL 1999,0.517747902
DZ 1999,0.538745134
AS 1999,0.6916354
AD 1999,0.70023134
AO 1999,0.173045051
AI 1999,0.83581715
AQ 1999,0.6916354
AG 1999,0.712693755
AR 1999,0.790003893
AM 1999,0.465760033
AW 1999,0.674025608
AU 1999,0.50198175
AT 1999,0.64869277
AZ 1999,0.493335941
BS 1999,0.759159529
BH 1999,0.417448828
BD 1999,0.553851222
BB 1999,0.66968432
BY 1999,0.480854702
BE 1999,0.65498636
BZ 1999,0.812743956
BJ 1999,0.585474245
BM 1999,0.83581715
BT 1999,0.648486053
BO 1999,0.437836136
BQ 1999,0.65378226
BA 1999,0.459239433
BW 1999,0.666849565
BV 1999,0.51506388
BR 1999,0.499378104
IO 1999,0.83581715
BN 1999,0.404591832
BG 1999,0.363679012
BF 1999,0.604618653
BI 1999,0.414101844
CV 1999,0.781377589
KH 1999,0.621481589
CM 1999,0.639910225
CA 1999,0.59155743
KY 1999,0.83581715
CF 1999,0.503944781
TD 1999,0.425971134
CL 1999,0.498359612
CN 1999,0.426249776
CX 1999,0.50198175
CC 1999,0.50198175
CO 1999,0.496440907
KM 1999,0.589069366
CD 1999,0.216619217
CG 1999,0.39524041
CK 1999,0.49735567
CR 1999,0.501880947
CI 1999,0.507206438
HR 1999,0.532634581
CU 1999,0.622507902
CW 1999,0.64411179
CY 1999,0.665560548
CZ 1999,0.45054036
DK 1999,0.64411179
DJ 1999,1
DM 1999,0.746315494
DO 1999,0.639191923
EC 1999,0.328252185
EG 1999,0.812738674
SV 1999,0.626756618
GQ 1999,0.291551949
ER 1999,0.155574163
EE 1999,0.368216202
ET 1999,0.454219175
FK 1999,0.83581715
FO 1999,0.64411179
FJ 1999,0.570867989
FI 1999,0.65950165
FR 1999,0.70023134
GF 1999,0.70023134
PF 1999,0.70023134
TF 1999,0.70023134
GA 1999,0.376447609
GM 1999,0.859033987
GE 1999,0.420626251
DE 1999,0.7222041
GH 1999,0.351552214
GI 1999,0.83581715
GR 1999,0.71646244
GL 1999,0.64411179
GD 1999,0.686225168
GP 1999,0.70023134
GU 1999,0.6916354
GT 1999,0.445958694
GG 1999,0.83581715
GN 1999,0.701240956
GW 1999,0.278811021
GY 1999,0.302749027
HT 1999,0.557600146
HM 1999,0.50198175
VA 1999,0.64555554
HN 1999,0.55303125
HK 1999,0.922487816
HU 1999,0.49554533
IS 1999,0.63067271
IN 1999,0.581041221
ID 1999,0.341653695
IR 1999,1.163617594
IQ 1999,1
IE 1999,0.62874564
IM 1999,0.83581715
IL 1999,0.598828527
IT 1999,0.64555554
JM 1999,0.649001678
JP 1999,1.09177931
JE 1999,0.83581715
JO 1999,0.462836729
KZ 1999,0.311060522
KE 1999,0.334876486
KI 1999,0.528108185
KP 1999,1
KR 1999,0.63146925
XK 1999,1
KW 1999,0.40397391
KG 1999,0.349129753
LA 1999,0.304684435
LV 1999,0.431327352
LB 1999,0.60192235
LS 1999,0.622012566
LR 1999,1
LY 1999,0.748782402
LI 1999,0.59136723
LT 1999,0.414537178
LU 1999,0.56046866
MO 1999,0.443340427
MK 1999,0.518709771
MG 1999,0.467034362
MW 1999,0.544611927
MY 1999,0.572483091
MV 1999,0.291790406
ML 1999,0.493241009
MT 1999,0.57445039
MH 1999,0.653251225
MQ 1999,0.70023134
MR 1999,0.605111349
MU 1999,0.650808447
YT 1999,0.70023134
MX 1999,0.744673024
FM 1999,0.613909945
MD 1999,0.218415307
MC 1999,0.70023134
MN 1999,0.273675348
ME 1999,1
MS 1999,0.83581715
MA 1999,0.755196927
MZ 1999,1.488876163
MM 1999,1
NA 1999,0.581428882
NR 1999,1
NP 1999,0.379597897
NL 1999,0.65378226
NC 1999,0.70023134
NZ 1999,0.49735567
NI 1999,0.786207311
NE 1999,0.495102235
NG 1999,0.429609313
NU 1999,0.49735567
NF 1999,0.50198175
MP 1999,0.6916354
NO 1999,0.51506388
OM 1999,0.368779867
PK 1999,0.442652242
PW 1999,1
PS 1999,0.556335939
PA 1999,0.564681298
PG 1999,0.320791537
PY 1999,0.400547331
PE 1999,0.545168828
PH 1999,0.653298879
PN 1999,0.83581715
PL 1999,0.57654786
PT 1999,0.61313494
PR 1999,0.621106956
QA 1999,0.311523469
RE 1999,0.70023134
RO 1999,0.30115444
RU 1999,0.244834772
RW 1999,0.768863242
BL 1999,0.70023134
SH 1999,0.83581715
KN 1999,0.637346189
LC 1999,0.58579577
MF 1999,0.70023134
PM 1999,0.70023134
VC 1999,0.725463963
WS 1999,0.519959125
SM 1999,1
ST 1999,1
SA 1999,0.377501678
SN 1999,0.623173055
RS 1999,0.619750244
SC 1999,0.685143685
SL 1999,0.432247519
SG 1999,0.637952305
SX 1999,0.64411179
SK 1999,0.40126958
SI 1999,0.73789686
SB 1999,0.531479237
SO 1999,1
ZA 1999,0.631813457
GS 1999,0.83581715
SS 1999,1
ES 1999,0.62892823
LK 1999,0.469554067
SD 1999,0.668600163
SR 1999,0.418776801
SJ 1999,0.51506388
SZ 1999,0.581966612
SE 1999,0.76488552
CH 1999,0.59136723
SY 1999,1
TW 1999,1.046982997
TJ 1999,0.571752407
TZ 1999,0.703051697
TH 1999,0.5338069
TL 1999,1
TG 1999,0.581818601
TK 1999,0.49735567
TO 1999,0.608971351
TT 1999,0.562599879
TN 1999,1.089073174
TR 1999,0.791453352
TM 1999,0.28943817
TC 1999,0.83581715
TV 1999,0.440861038
UG 1999,0.702127779
UA 1999,0.363040796
AE 1999,0.452991566
GB 1999,0.83581715
UM 1999,0.6916354
US 1999,0.6916354
UY 1999,0.642571934
UZ 1999,1.125832576
VU 1999,0.483360079
VE 1999,0.921172224
VN 1999,0.375174764
VG 1999,0.83581715
VI 1999,0.6916354
WF 1999,0.70023134
EH 1999,0.755196927
YE 1999,0.300815667
ZM 1999,0.391910605
ZW 1999,0.222199218
Total DAC 1999,0.73789686
EU Institutions 1999,0.67492352
AF 2000,1
AX 2000,0.58012806
AL 2000,0.49692999
DZ 2000,0.588014775
AS 2000,0.70709697
AD 2000,0.61502738
AO 2000,0.251279455
AI 2000,0.79659668
AQ 2000,0.70709697
AG 2000,0.744578962
AR 2000,0.819649609
AM 2000,0.46702573
AW 2000,0.722816435
AU 2000,0.46966765
AT 2000,0.56869895
AZ 2000,0.528665583
BS 2000,0.744742781
BH 2000,0.547850183
BD 2000,0.550804618
BB 2000,0.691696779
BY 2000,0.48796768
BE 2000,0.57794541
BZ 2000,0.848446505
BJ 2000,0.530867481
BM 2000,0.79659668
BT 2000,0.629377527
BO 2000,0.441912663
BQ 2000,0.58462968
BA 2000,0.492355093
BW 2000,0.641780294
BV 2000,0.52678092
BR 2000,0.543517663
IO 2000,0.79659668
BN 2000,0.512196862
BG 2000,0.385945246
BF 2000,0.494335442
BI 2000,0.450634874
CV 2000,0.639458371
KH 2000,0.576608388
CM 2000,0.552513618
CA 2000,0.61736283
KY 2000,0.79659668
CF 2000,0.445075949
TD 2000,0.387086403
CL 2000,0.518309745
CN 2000,0.438360965
CX 2000,0.46966765
CC 2000,0.46966765
CO 2000,0.60060627
KM 2000,0.529302281
CD 2000,0.91679877
CG 2000,0.554979645
CK 2000,0.43675854
CR 2000,0.508483196
CI 2000,0.432202747
HR 2000,0.497293474
CU 2000,0.631712581
CW 2000,0.5726358
CY 2000,0.602960318
CZ 2000,0.41044795
DK 2000,0.5726358
DJ 2000,1
DM 2000,0.747509993
DO 2000,0.662427394
EC 2000,0.321473881
EG 2000,0.843462674
SV 2000,0.640725651
GQ 2000,0.39071676
ER 2000,0.138073489
EE 2000,0.365346074
ET 2000,0.462297519
FK 2000,0.79659668
FO 2000,0.5726358
FJ 2000,0.454977295
FI 2000,0.58012806
FR 2000,0.61502738
GF 2000,0.61502738
PF 2000,0.61502738
TF 2000,0.61502738
GA 2000,0.449264503
GM 2000,0.77584209
GE 2000,0.44648987
DE 2000,0.62167581
GH 2000,0.217370879
GI 2000,0.79659668
GR 2000,0.60962572
GL 2000,0.5726358
GD 2000,0.692596844
GP 2000,0.61502738
GU 2000,0.70709697
GT 2000,0.452187355
GG 2000,0.79659668
GN 2000,0.584563701
GW 2000,0.455167595
GY 2000,0.301626229
HT 2000,0.516761272
HM 2000,0.46966765
VA 2000,0.56838601
HN 2000,0.616971422
HK 2000,0.931960568
HU 2000,0.45536791
IS 2000,0.60244367
IN 2000,0.544960346
ID 2000,0.399549731
IR 2000,1.531999747
IQ 2000,1
IE 2000,0.58118666
IM 2000,0.79659668
IL 2000,0.656271846
IT 2000,0.56838601
JM 2000,0.651979223
JP 2000,1.1375974
JE 2000,0.79659668
JO 2000,0.464656697
KZ 2000,0.328397094
KE 2000,0.322490956
KI 2000,0.5225447
KP 2000,1
KR 2000,0.67000615
XK 2000,0.529142663
KW 2000,0.514958239
KG 2000,0.369344204
LA 2000,0.33797025
LV 2000,0.442685265
LB 2000,0.600555409
LS 2000,0.601787145
LR 2000,0.394325722
LY 2000,0.796516808
LI 2000,0.53464285
LT 2000,0.440935336
LU 2000,0.49540184
MO 2000,0.470136488
MK 2000,0.485443922
MG 2000,0.465468455
MW 2000,0.518885407
MY 2000,0.639155328
MV 2000,0.291187811
ML 2000,0.400792137
MT 2000,0.572333203
MH 2000,0.667463958
MQ 2000,0.61502738
MR 2000,0.517017091
MU 2000,0.680915649
YT 2000,0.61502738
MX 2000,0.854722313
FM 2000,0.641709506
MD 2000,0.248741059
MC 2000,0.61502738
MN 2000,0.285482703
ME 2000,0.300617505
MS 2000,0.79659668
MA 2000,0.697322645
MZ 2000,1.257152077
MM 2000,0.707361775
NA 2000,0.564692519
NR 2000,1
NP 2000,0.396823362
NL 2000,0.58462968
NC 2000,0.61502738
NZ 2000,0.43675854
NI 2000,0.77258757
NE 2000,0.443699874
NG 2000,0.499600136
NU 2000,0.43675854
NF 2000,0.46966765
MP 2000,0.70709697
NO 2000,0.52678092
OM 2000,0.458489031
PK 2000,0.50146745
PW 2000,0.626602838
PS 2000,0.51889216
PA 2000,0.55118386
PG 2000,0.318960312
PY 2000,0.406951251
PE 2000,0.553807702
PH 2000,0.618732239
PN 2000,0.79659668
PL 2000,0.56447993
PT 2000,0.54847318
PR 2000,0.6286809
QA 2000,0.446426508
RE 2000,0.61502738
RO 2000,0.313227549
RU 2000,0.305049621
RW 2000,0.703468094
BL 2000,0.61502738
SH 2000,0.79659668
KN 2000,0.658354072
LC 2000,0.577195916
MF 2000,0.61502738
PM 2000,0.61502738
VC 2000,0.716335171
WS 2000,0.528863212
SM 2000,1
ST 2000,1
SA 2000,0.459690945
SN 2000,0.533073796
RS 2000,0.250618684
SC 2000,0.663802778
SL 2000,0.418899545
SG 2000,0.671875881
SX 2000,0.5726358
SK 2000,0.39308774
SI 2000,0.71282483
SB 2000,0.481881569
SO 2000,1
ZA 2000,0.615781465
GS 2000,0.79659668
SS 2000,1
ES 2000,0.56210955
LK 2000,0.469587986
SD 2000,0.744106598
SR 2000,0.454137687
SJ 2000,0.52678092
SZ 2000,0.634752563
SE 2000,0.69999773
CH 2000,0.53464285
SY 2000,1
TW 2000,1.068921
TJ 2000,0.436637321
TZ 2000,0.705504659
TH 2000,0.509352059
TL 2000,0.49446796
TG 2000,0.536063132
TK 2000,0.43675854
TO 2000,0.603135682
TT 2000,0.623709838
TN 2000,0.961082718
TR 2000,0.873949492
TM 2000,0.294482466
TC 2000,0.79659668
TV 2000,0.449661644
UG 2000,0.670882805
UA 2000,0.360092576
AE 2000,0.543912351
GB 2000,0.79659668
UM 2000,0.70709697
US 2000,0.70709697
UY 2000,0.623567324
UZ 2000,0.869711672
VU 2000,0.488965328
VE 2000,1.185555288
VN 2000,0.389151891
VG 2000,0.79659668
VI 2000,0.70709697
WF 2000,0.61502738
EH 2000,0.697322645
YE 2000,0.366173069
ZM 2000,0.396097896
ZW 2000,0.218541509
Total DAC 2000,0.71282483
EU Institutions 2000,0.59194863
AF 2001,1
AX 2001,0.5827927
AL 2001,0.523611658
DZ 2001,0.566045406
AS 2001,0.72260656
AD 2001,0.60965088
AO 2001,0.238662536
AI 2001,0.76548083
AQ 2001,0.72260656
AG 2001,0.673147835
AR 2001,0.781089885
AM 2001,0.488740098
AW 2001,0.688593715
AU 2001,0.43338703
AT 2001,0.56337968
AZ 2001,0.515114089
BS 2001,0.736442155
BH 2001,0.515297909
BD 2001,0.5292064
BB 2001,0.66121651
BY 2001,0.447383061
BE 2001,0.57276705
BZ 2001,0.786604986
BJ 2001,0.523152217
BM 2001,0.76548083
BT 2001,0.638431454
BO 2001,0.417940643
BQ 2001,0.59179576
BA 2001,0.487293277
BW 2001,0.596797097
BV 2001,0.52390679
BR 2001,0.44436937
IO 2001,0.76548083
BN 2001,0.464807293
BG 2001,0.394228802
BF 2001,0.519464801
BI 2001,0.457823678
CV 2001,0.584223326
KH 2001,0.56416484
CM 2001,0.548760616
CA 2001,0.60195201
KY 2001,0.76548083
CF 2001,0.465089803
TD 2001,0.481956287
CL 2001,0.448606792
CN 2001,0.446762294
CX 2001,0.43338703
CC 2001,0.43338703
CO 2001,0.573754211
KM 2001,0.515561082
CD 2001,0.383778864
CG 2001,0.447697547
CK 2001,0.42191465
CR 2001,0.521285205
CI 2001,0.460914101
HR 2001,0.515074535
CU 2001,0.618231356
CW 2001,0.57062845
CY 2001,0.592496423
CZ 2001,0.43749622
DK 2001,0.57062845
DJ 2001,1
DM 2001,0.74517649
DO 2001,0.666623798
EC 2001,0.424545727
EG 2001,0.775426572
SV 2001,0.660343755
GQ 2001,0.461694197
ER 2001,0.167801676
EE 2001,0.364746799
ET 2001,0.435243559
FK 2001,0.76548083
FO 2001,0.57062845
FJ 2001,0.456247686
FI 2001,0.5827927
FR 2001,0.60965088
GF 2001,0.60965088
PF 2001,0.60965088
TF 2001,0.60965088
GA 2001,0.453459954
GM 2001,0.645685643
GE 2001,0.461662114
DE 2001,0.61198555
GH 2001,0.223576164
GI 2001,0.76548083
GR 2001,0.60480894
GL 2001,0.57062845
GD 2001,0.660828345
GP 2001,0.60965088
GU 2001,0.72260656
GT 2001,0.423177285
GG 2001,0.76548083
GN 2001,0.53946129
GW 2001,0.457517757
GY 2001,0.305582015
HT 2001,0.465994811
HM 2001,0.43338703
VA 2001,0.5690811
HN 2001,0.612472489
HK 2001,0.854202505
HU 2001,0.4978184
IS 2001,0.52862734
IN 2001,0.54390162
ID 2001,0.370258037
IR 2001,1.309677379
IQ 2001,1
IE 2001,0.60345224
IM 2001,0.76548083
IL 2001,0.60341769
IT 2001,0.5690811
JM 2001,0.660158108
JP 2001,0.99817653
JE 2001,0.76548083
JO 2001,0.472863486
KZ 2001,0.36221176
KE 2001,0.327649602
KI 2001,0.461438025
KP 2001,1
KR 2001,0.60745418
XK 2001,0.725479143
KW 2001,0.455017962
KG 2001,0.390087431
LA 2001,0.326351307
LV 2001,0.440392477
LB 2001,0.60597231
LS 2001,0.539122384
LR 2001,0.408763277
LY 2001,0.684738868
LI 2001,0.54038813
LT 2001,0.450913893
LU 2001,0.48343686
MO 2001,0.450588088
MK 2001,0.456541677
MG 2001,0.519015993
MW 2001,0.50292239
MY 2001,0.580844828
MV 2001,0.390817502
ML 2001,0.47043056
MT 2001,0.53923858
MH 2001,0.701231868
MQ 2001,0.60965088
MR 2001,0.520008905
MU 2001,0.622591298
YT 2001,0.60965088
MX 2001,0.870612958
FM 2001,0.632323447
MD 2001,0.27995461
MC 2001,0.60965088
MN 2001,0.314795548
ME 2001,0.343588177
MS 2001,0.76548083
MA 2001,0.694840493
MZ 2001,1.188072214
MM 2001,0.452371753
NA 2001,0.494754078
NR 2001,1
NP 2001,0.408531676
NL 2001,0.59179576
NC 2001,0.60965088
NZ 2001,0.42191465
NI 2001,0.773508235
NE 2001,0.486818294
NG 2001,0.507122356
NU 2001,0.42191465
NF 2001,0.43338703
MP 2001,0.72260656
NO 2001,0.52390679
OM 2001,0.433758133
PK 2001,0.470293882
PW 2001,0.67216087
PS 2001,0.526677084
PA 2001,0.545243652
PG 2001,0.28621754
PY 2001,0.399661347
PE 2001,0.542252067
PH 2001,0.557748178
PN 2001,0.76548083
PL 2001,0.62078752
PT 2001,0.55279175
PR 2001,0.68282404
QA 2001,0.440860506
RE 2001,0.60965088
RO 2001,0.331483336
RU 2001,0.327388721
RW 2001,0.62658611
BL 2001,0.60965088
SH 2001,0.76548083
KN 2001,0.653960679
LC 2001,0.552026163
MF 2001,0.60965088
PM 2001,0.60965088
VC 2001,0.764859266
WS 2001,0.502121025
SM 2001,1
ST 2001,0.392493253
SA 2001,0.42285967
SN 2001,0.538405004
RS 2001,0.436223907
SC 2001,0.661751287
SL 2001,0.673565233
SG 2001,0.575904217
SX 2001,0.57062845
SK 2001,0.39542692
SI 2001,0.67649705
SB 2001,0.517326468
SO 2001,1
ZA 2001,0.526618879
GS 2001,0.76548083
SS 2001,1
ES 2001,0.56867775
LK 2001,0.427244921
SD 2001,0.752539176
SR 2001,0.391575283
SJ 2001,0.52390679
SZ 2001,0.553567326
SE 2001,0.63506104
CH 2001,0.54038813
SY 2001,1
TW 2001,0.910517568
TJ 2001,0.506251325
TZ 2001,0.68536841
TH 2001,0.464108216
TL 2001,0.582264385
TG 2001,0.537738898
TK 2001,0.42191465
TO 2001,0.522582114
TT 2001,0.631421145
TN 2001,0.943196659
TR 2001,0.601191442
TM 2001,0.339784829
TC 2001,0.76548083
TV 2001,0.436043874
UG 2001,0.613399516
UA 2001,0.413023663
AE 2001,0.485838572
GB 2001,0.76548083
UM 2001,0.72260656
US 2001,0.72260656
UY 2001,0.582224368
UZ 2001,0.693994248
VU 2001,0.43771956
VE 2001,1.196644585
VN 2001,0.382101474
VG 2001,0.76548083
VI 2001,0.72260656
WF 2001,0.60965088
EH 2001,0.694840493
YE 2001,0.352325869
ZM 2001,0.433523
ZW 2001,0.228384205
Total DAC 2001,0.67649705
EU Institutions 2001,0.58958071
AF 2002,0.581987224
AX 2002,0.61942454
AL 2002,0.536041746
DZ 2002,0.569785543
AS 2002,0.73403636
AD 2002,0.65480003
AO 2002,0.39176679
AI 2002,0.814258
AQ 2002,0.73403636
AG 2002,0.72050644
AR 2002,0.29718174
AM 2002,0.500408922
AW 2002,0.717432968
AU 2002,0.46963573
AT 2002,0.5997945
AZ 2002,0.512081612
BS 2002,0.766200144
BH 2002,0.537351004
BD 2002,0.510470926
BB 2002,0.688742127
BY 2002,0.504630184
BE 2002,0.61262455
BZ 2002,0.801177742
BJ 2002,0.566050355
BM 2002,0.814258
BT 2002,0.665197754
BO 2002,0.399102929
BQ 2002,0.64617962
BA 2002,0.539997857
BW 2002,0.589801844
BV 2002,0.58036781
BR 2002,0.397997313
IO 2002,0.814258
BN 2002,0.471958752
BG 2002,0.439306923
BF 2002,0.555273231
BI 2002,0.422303
CV 2002,0.630289654
KH 2002,0.564607021
CM 2002,0.587036069
CA 2002,0.60103428
KY 2002,0.814258
CF 2002,0.473666279
TD 2002,0.501904052
CL 2002,0.426657386
CN 2002,0.452750494
CX 2002,0.46963573
CC 2002,0.46963573
CO 2002,0.56285687
KM 2002,0.564797987
CD 2002,0.459990188
CG 2002,0.466139319
CK 2002,0.46779252
CR 2002,0.522424108
CI 2002,0.50783467
HR 2002,0.576570321
CU 2002,0.635232529
CW 2002,0.6163776
CY 2002,0.626007876
CZ 2002,0.52198329
DK 2002,0.6163776
DJ 2002,1
DM 2002,0.730280842
DO 2002,0.695443679
EC 2002,0.476224476
EG 2002,0.673915363
SV 2002,0.674941311
GQ 2002,0.349430359
ER 2002,0.149574221
EE 2002,0.40537652
ET 2002,0.383303949
FK 2002,0.814258
FO 2002,0.6163776
FJ 2002,0.496498873
FI 2002,0.61942454
FR 2002,0.65480003
GF 2002,0.65480003
PF 2002,0.65480003
TF 2002,0.65480003
GA 2002,0.469767253
GM 2002,0.513364134
GE 2002,0.464607651
DE 2002,0.6528948
GH 2002,0.249415261
GI 2002,0.814258
GR 2002,0.65761676
GL 2002,0.6163776
GD 2002,0.700259489
GP 2002,0.65480003
GU 2002,0.73403636
GT 2002,0.459380055
GG 2002,0.814258
GN 2002,0.541764004
GW 2002,0.474613363
GY 2002,0.30462963
HT 2002,0.454643658
HM 2002,0.46963573
VA 2002,0.61847466
HN 2002,0.612722715
HK 2002,0.834125446
HU 2002,0.59883452
IS 2002,0.59675256
IN 2002,0.550399709
ID 2002,0.435646782
IR 2002,0.504327635
IQ 2002,1
IE 2002,0.6682778
IM 2002,0.814258
IL 2002,0.558301963
IT 2002,0.61847466
JM 2002,0.688030552
JP 2002,0.954552
JE 2002,0.814258
JO 2002,0.479570529
KZ 2002,0.354912084
KE 2002,0.319647976
KI 2002,0.535827825
KP 2002,1
KR 2002,0.64559112
XK 2002,0.542275232
KW 2002,0.496347422
KG 2002,0.389933555
LA 2002,0.306780242
LV 2002,0.473616521
LB 2002,0.633243066
LS 2002,0.489104559
LR 2002,0.406370787
LY 2002,0.41853987
LI 2002,0.58400415
LT 2002,0.493285065
LU 2002,0.51736174
MO 2002,0.470821725
MK 2002,0.510185161
MG 2002,0.475254214
MW 2002,1.077850587
MY 2002,0.628060502
MV 2002,0.419417415
ML 2002,0.457678112
MT 2002,0.580268216
MH 2002,0.704065197
MQ 2002,0.65480003
MR 2002,0.521135191
MU 2002,0.632154149
YT 2002,0.65480003
MX 2002,0.891938113
FM 2002,0.622879368
MD 2002,0.296139548
MC 2002,0.65480003
MN 2002,0.336767768
ME 2002,0.376422322
MS 2002,0.814258
MA 2002,0.693016383
MZ 2002,1.122236927
MM 2002,0.425088913
NA 2002,0.460752126
NR 2002,1
NP 2002,0.392664399
NL 2002,0.64617962
NC 2002,0.65480003
NZ 2002,0.46779252
NI 2002,0.737301815
NE 2002,0.507134513
NG 2002,0.616904878
NU 2002,0.46779252
NF 2002,0.46963573
MP 2002,0.73403636
NO 2002,0.58036781
OM 2002,0.429891766
PK 2002,0.461133011
PW 2002,0.657040131
PS 2002,0.515779259
PA 2002,0.563478037
PG 2002,0.278983596
PY 2002,0.341375122
PE 2002,0.567379292
PH 2002,0.578279397
PN 2002,0.814258
PL 2002,0.63656703
PT 2002,0.60609355
PR 2002,0.664687075
QA 2002,0.468479823
RE 2002,0.65480003
RO 2002,0.359274863
RU 2002,0.350991552
RW 2002,0.578569622
BL 2002,0.65480003
SH 2002,0.814258
KN 2002,0.648295187
LC 2002,0.576324989
MF 2002,0.65480003
PM 2002,0.65480003
VC 2002,0.80769106
WS 2002,0.495310363
SM 2002,1
ST 2002,0.440139244
SA 2002,0.440754011
SN 2002,0.562978856
RS 2002,0.54586557
SC 2002,0.759021917
SL 2002,0.826622218
SG 2002,0.599909021
SX 2002,0.6163776
SK 2002,0.43831164
SI 2002,0.70074187
SB 2002,0.479632975
SO 2002,1
ZA 2002,0.487318629
GS 2002,0.814258
SS 2002,1
ES 2002,0.62288187
LK 2002,0.455629353
SD 2002,0.793450315
SR 2002,0.492588667
SJ 2002,0.58036781
SZ 2002,0.508635967
SE 2002,0.6858178
CH 2002,0.58400415
SY 2002,1
TW 2002,0.948110347
TJ 2002,0.52198419
TZ 2002,0.67280276
TH 2002,0.500884754
TL 2002,0.525954223
TG 2002,0.626915873
TK 2002,0.46779252
TO 2002,0.5085672
TT 2002,0.618750706
TN 2002,0.953019251
TR 2002,0.761187462
TM 2002,0.411054389
TC 2002,0.814258
TV 2002,0.502327438
UG 2002,0.616924973
UA 2002,0.421832894
AE 2002,0.509301687
GB 2002,0.814258
UM 2002,0.73403636
US 2002,0.73403636
UY 2002,0.394220969
UZ 2002,0.566114855
VU 2002,0.461765298
VE 2002,0.898123074
VN 2002,0.386006745
VG 2002,0.814258
VI 2002,0.73403636
WF 2002,0.65480003
EH 2002,0.693016383
YE 2002,0.368088276
ZM 2002,0.421626398
ZW 2002,0.210683508
Total DAC 2002,0.70074187
EU Institutions 2002,0.63569116
AF 2003,0.648060555
AX 2003,0.74442121
AL 2003,0.661756334
DZ 2003,0.645167841
AS 2003,0.74766835
AD 2003,0.79964046
AO 2003,0.401648156
AI 2003,0.9061859
AQ 2003,0.74766835
AG 2003,0.749122688
