deflatortype,Deflators
GB 2013 | 2014 | 2015 | 2016 | 2017 | 2018,1
GB 2015 | 2016 | 2017,1
DE 2015 | 2016 | 2017 | 2018,1
GB 2015 | 2016 | 2017 | 2018 | 2014,1
Total DAC 2016 | 2015 | 2014,1
GB 2016 | 2017,1
DE 2016 | 2017 | 2018,1
DE 2016 | 2017 | 2018 | 2019,1
DE 2016 | 2017 | 2018 | 2019 | 2020,1
DE 2016 | 2019 | 2018 | 2017,1
GB 2017 | 2015 | 2014 | 2018 | 2016,1
GB 2017 | 2016 | 2018,1
DE 2017 | 2016 | 2018,1
DE 2017 | 2018,1
DE 2017 | 2018 | 2019,1
LU 2017 | 2018 | 2019,1
DE 2017 | 2018 | 2019 | 2020,1
GB 2017 | 2018 | 2019 | 2020,1
DE 2017 | 2019 | 2018,1
DE 2017 | 2020 | 2018 | 2019,1
DE 2018 | 2016 | 2017,1
DE 2018 | 2017,1
Total DAC 2018 | 2017,1
DE 2018 | 2017 | 2016,1
DE 2018 | 2017 | 2019,1
GB 2018 | 2017 | 2019,1
Total DAC 2018 | 2019,1
DE 2018 | 2019,1
LU 2018 | 2019,1
SE 2018 | 2019,1
US 2018 | 2019,1
DE 2018 | 2019 | 2016 | 2017,1
DE 2018 | 2019 | 2020,1
Total DAC 2018 | 2019 | 2020,1
LU 2018 | 2019 | 2020,1
GB 2018 | 2019 | 2020,1
DE 2018 | 2019 | 2021 | 2020,1
DE 2018 | 2020 | 2019,1
DE 2019 | 2016 | 2018 | 2015 | 2017,1
DE 2019 | 2017 | 2018 | 2020,1
DE 2019 | 2017 | 2020 | 2018,1
Total DAC 2019 | 2018,1
SE 2019 | 2018,1
DE 2019 | 2018,1
LU 2019 | 2018,1
GB 2019 | 2018,1
DE 2019 | 2018 | 2017,1
LU 2019 | 2018 | 2017,1
Total DAC 2019 | 2018 | 2017,1
DE 2019 | 2018 | 2017 | 2016,1
DE 2019 | 2018 | 2020,1
DE 2019 | 2018 | 2020 | 2017,1
DE 2019 | 2020,1
LU 2019 | 2020,1
Total DAC 2019 | 2020,1
DE 2019 | 2020 | 2018,1
DE 2019 | 2020 | 2021,1
LU 2019 | 2020 | 2021,1
GB 2019 | 2020 | 2021 | 2022,1
DE 2019 | 2020 | 2021 | 2022,1
