Code type,country,recipient_name,2019.0,2020.0,2021.0,2022.0,Reporting Organisation Narrative
Family planning,Belgium,"Developing countries, unspecified",2.1027534915,2.2792,0.7077987574,,Belgium
Family planning,Canada,"Africa, regional",2.18240429875,0.6749078,8.7805196675,,Canada
Family planning,Canada,"America, regional",1.2779642987500002,0.6749078,1.6258896675,,Canada
Family planning,Canada,"Asia, regional",1.5794442987500001,0.6749078000000001,2.2979492445,,Canada
Family planning,Canada,Bangladesh,2.7179292382196323,1.887691562016545,3.636480691015114,2.850207165,Canada
Family planning,Canada,Benin,1.10502847778665,0.47245995296000004,0.543396922418,0.0603525,Canada
Family planning,Canada,Bolivia (Plurinational State of),0.29583659588000005,0.15794604,0.12269359074,0.11591558654,Canada
Family planning,Canada,Burkina Faso,0.6800370660487012,2.6444895025575814,1.984434655521789,0.11969006407799998,Canada
Family planning,Canada,Burundi,0.04183973220834,0.013788964604799999,,,Canada
Family planning,Canada,Cambodia,,,0.1496001536715,,Canada
Family planning,Canada,Cameroon,,0.178944,0.1770671,0.0603525,Canada
Family planning,Canada,Canada,0.007640153032224868,0.002659450159202526,0.014073635653689905,,Canada
Family planning,Canada,Colombia,0.19633885000000004,0.65878837536,0.0974016939,0.05495320441,Canada
Family planning,Canada,Congo (the Democratic Republic of the),1.513530402946999,1.4023517860006647,0.7662907705600001,,Canada
Family planning,Canada,Côte d'Ivoire,0.7959072,,0.2110416,,Canada
Family planning,Canada,"Developing countries, unspecified",8.789657175169203e-05,0.000113726991679488,0.006074277876135083,,Canada
Family planning,Canada,Ecuador,,0.2482848,,,Canada
Family planning,Canada,El Salvador,0.02524518150000001,0.029158040548223997,0.122865687314692,,Canada
Family planning,Canada,Ethiopia,0.07842293601408,0.09069657910656001,0.10072221360902399,,Canada
Family planning,Canada,"Europe, regional",0.66957765875,0.66238172,0.7101769675,,Canada
Family planning,Canada,Ghana,0.47633840000000005,0.3728,0.65506833,0.40235,Canada
Family planning,Canada,Guatemala,0.015828333108000005,0.026689272309504,0.03258545360672,,Canada
Family planning,Canada,Haiti,0.7423945,1.0710544,0.5351314461779999,,Canada
Family planning,Canada,Honduras,0.013971294782038084,0.024680366807956735,0.05309069294473023,,Canada
Family planning,Canada,Indonesia,0.45222,0.424992,0.287784,,Canada
Family planning,Canada,Jordan,,,0.027699210000000005,,Canada
Family planning,Canada,Kenya,0.03432346189475519,0.02111853234700928,0.1552005043122138,,Canada
Family planning,Canada,Lebanon,,,0.03165624,,Canada
Family planning,Canada,Malawi,0.09599116808623999,0.16108958861567998,0.217770801854592,0.027037919999999997,Canada
Family planning,Canada,Mali,2.807416357991017,2.7988981680768004,1.2857798613707545,1.0942325889300002,Canada
Family planning,Canada,Morocco,0.037685,0.03728,0.03997,,Canada
Family planning,Canada,Mozambique,5.676874663996178,4.9450305265264,6.730250799321779,0.101917781758,Canada
Family planning,Canada,Myanmar,0.4770821348439024,0.4692739860484813,0.5454039756081486,,Canada
Family planning,Canada,Nepal,0.0023233290897600005,0.0009446269745920003,0.0014169637755280006,,Canada
Family planning,Canada,Nicaragua,0.009496620000000004,0.39472064,0.4308766,,Canada
Family planning,Canada,Niger (the),0.6994336,,0.18546079999999998,,Canada
Family planning,Canada,Nigeria,2.9853595358750002,1.8846790296,1.3362957859299998,0.37540679319,Canada
Family planning,Canada,"Oceania, regional",,,0.339745,,Canada
Family planning,Canada,Pakistan,0.033866048207597504,0.021043226747009283,0.005580308376494207,,Canada
Family planning,Canada,"Palestine, State of",0.15030488899,0.15157436607999997,0.17068696869,,Canada
Family planning,Canada,Peru,0.17565285165456002,0.26260297552896,0.14337073108512,0.25309975973567994,Canada
Family planning,Canada,Philippines (the),0.2500998175863804,0.828828588993664,1.29171617917574,0.121415348925,Canada
Family planning,Canada,Rwanda,0.0440418233772,0.014514699584,,,Canada
Family planning,Canada,Senegal,0.09388863511000001,0.88987270528,1.043187490149,0.01417956269288,Canada
Family planning,Canada,Sierra Leone,0.04315726296840001,0.25316553338880005,0.16216353710172,0.16024694407799997,Canada
Family planning,Canada,Somalia,,0.07456,0.31976,0.088517,Canada
Family planning,Canada,South Africa,,0.47039680320000005,0.28035977235,0.115386134175,Canada
Family planning,Canada,South Sudan,1.0902183489079684,2.8736133557424006,5.4514430340623035,0.18618054208,Canada
Family planning,Canada,"South of Sahara, regional",6.517997599999999,3.728,1.2233178230000001,,Canada
Family planning,Canada,Sudan (the),0.016144254000000004,0.007419244783104001,0.016141717649231998,,Canada
Family planning,Canada,"Tanzania, United Republic of",3.992682767696428,3.809643929822209,2.0435119453782,0.5310152533400001,Canada
Family planning,Canada,Togo,0.10250320000000004,,0.054359199999999996,,Canada
Family planning,Canada,Uganda,,,0.27350850945390004,,Canada
Family planning,Canada,Zambia,0.07680377858400002,0.096636688488,0.0979245478652,,Canada
Family planning,Denmark,"Developing countries, unspecified",12.086853519635,16.6661,20.865,,Denmark
Family planning,Denmark,"Tanzania, United Republic of",,,2.4075,,Denmark
Family planning,Denmark,Uganda,0.5996,,0.4815,,Denmark
Family planning,European Commission,Benin,,0.598934735865,0.31106945438100003,,European Commission
Family planning,European Commission,Burkina Faso,1.2956596758108303,1.7407504947825,0.94179115318482,,European Commission
Family planning,European Commission,Côte d'Ivoire,0.5657780391064999,0.267528484665,0.0310850185815,,European Commission
Family planning,European Commission,Mauritius,,,0.298907730495,,European Commission
Family planning,European Commission,Zimbabwe,,1.5687,,,European Commission
Family planning,Finland,Bolivia (Plurinational State of),0.0141454445,,,,Finland
Family planning,Finland,Lao People's Democratic Republic (the),0.0442220625,,0.0756455058,,Finland
Family planning,Finland,Malawi,0.1711031619,0.1775734785,,,Finland
Family planning,Finland,"South & Central Asia, regional",0.168465,0.168075,0.192321,,Finland
Family planning,Netherlands,Bangladesh,0.555838467,,0.0511093716,,Netherlands
Family planning,Netherlands,Burundi,,0.212455628,,,Netherlands
Family planning,Netherlands,Congo (the Democratic Republic of the),0.7253677104999999,,,,Netherlands
Family planning,Netherlands,"Developing countries, unspecified",1.7177372905,12.837320495999998,1.504692,10.5128004432,Netherlands
Family planning,Netherlands,Egypt,,,0.2695154154,,Netherlands
Family planning,Netherlands,Ethiopia,4.5710192549999995,5.9268419364,8.8065968508,,Netherlands
Family planning,Netherlands,Mali,5.217533863499999,4.5949971144,10.512613057800001,,Netherlands
Family planning,Netherlands,Mozambique,7.081871917999999,7.922915153999998,2.8143699457999998,,Netherlands
Family planning,Netherlands,Niger (the),9.622644337999999,7.6669815068,10.214141875,,Netherlands
Family planning,Netherlands,Senegal,0.104997905,,0.022470067200000002,,Netherlands
Family planning,New Zealand,Cook Islands (the),0.008972908174999999,0.027080625,0.0015376704715687499,,New Zealand
Family planning,New Zealand,"Developing countries, unspecified",1.7636275,1.73875,1.8947025,,New Zealand
Family planning,New Zealand,Fiji,0.0089809846,0.027105,0.0015376704715687499,,New Zealand
Family planning,New Zealand,Kiribati,0.226165436975,0.229880625,0.23179579735156877,,New Zealand
Family planning,New Zealand,Papua New Guinea,0.008972908174999999,0.027080625,0.0015376704715687499,,New Zealand
Family planning,New Zealand,Philippines (the),0.10071,,,,New Zealand
Family planning,New Zealand,Samoa,0.008972908174999999,0.027080625,0.0015376704715687499,,New Zealand
Family planning,New Zealand,Solomon Islands,0.008972908174999999,0.027080625,0.0015515233586999998,,New Zealand
Family planning,New Zealand,Tonga,0.008972908174999999,0.027080625,0.0015376704715687499,,New Zealand
Family planning,New Zealand,Tuvalu,0.008972908174999999,0.027080625,0.0015376704715687499,,New Zealand
Family planning,New Zealand,Vanuatu,0.143578537175,0.23364583008,0.15221626237156874,,New Zealand
Family planning,Norway,"Africa, regional",,0.108617495,,,Norway
Family planning,Norway,Colombia,0.3725775,0.4624959094,,,Norway
Family planning,Norway,"Developing countries, unspecified",11.7017757096,7.6867,,,Norway
Family planning,Norway,Ethiopia,0.2012110356,0.180014219,,,Norway
