Code type,country,recipient_name,2019.0,2020.0,2021.0,2022.0,Reporting Organisation Narrative
Family planning,Norway,Guatemala,0.1875735,0.18156814900000004,,,Norway
Family planning,Norway,Kenya,,0.019997143600000003,,,Norway
Family planning,Norway,Lebanon,0.3919344,0.4977,,,Norway
Family planning,Norway,Malawi,1.1908776,,,,Norway
Family planning,Norway,Mozambique,0.495628,0.553,,,Norway
Family planning,Norway,Nigeria,0.54816,0.8848,,,Norway
Family planning,Norway,"Palestine, State of",0.29692,0.334012,,,Norway
Family planning,Norway,Philippines (the),0.0033023213999999997,0.0553,,,Norway
Family planning,Norway,"Tanzania, United Republic of",0.07148349,0.07193977,,,Norway
Family planning,Norway,Zimbabwe,0.1733208832,0.19061467600000004,,,Norway
Family planning,Spain,"Developing countries, unspecified",0.56155,1.011224358,,,Spain
Family planning,Spain,El Salvador,0.247082,,,,Spain
Family planning,Spain,Niger (the),0.035096875,0.035015625,,,Spain
Family planning,Sweden,Botswana,0.0126904895356338,0.0065148701912114,0.0139910690342665,,Sweden
Family planning,Sweden,"Developing countries, unspecified",0.0965534745502808,,,,Sweden
Family planning,Sweden,"Eastern Africa, regional",0.0317262238390846,0.0162871754780286,0.0349776725856661,,Sweden
Family planning,Sweden,Liberia,,0.5646220832383249,0.34977672585666153,,Sweden
Family planning,Sweden,Malawi,0.0126904895356338,0.0065148701912114,0.0139910690342665,,Sweden
Family planning,Sweden,Mozambique,,,4.080728468327717,,Sweden
Family planning,Sweden,Namibia,0.0126904895356338,0.0065148701912114,0.0139910690342665,,Sweden
Family planning,Sweden,"Palestine, State of",,,0.34977672585666153,,Sweden
Family planning,Sweden,"Southern Africa, regional",0.0317262238390846,0.0162871754780286,0.0349776725856661,,Sweden
Family planning,Sweden,Uganda,0.0126904895356338,0.0065148701912114,0.2121978803530414,,Sweden
Family planning,Sweden,Zambia,0.37527367988240146,-0.014247826878182799,,,Sweden
Family planning,Sweden,Zimbabwe,0.0126904895356338,0.0065148701912114,0.0139910690342665,,Sweden
Family planning,UK,"Africa, regional",163.45952717416003,100.57023925319992,79.16892829119996,,UK
Family planning,UK,Bangladesh,6.362583994007999,8.57343950004,2.960757163936,,UK
Family planning,UK,Congo (the Democratic Republic of the),2.9681576249600004,4.08641371008,1.8488039792639999,,UK
Family planning,UK,"Developing countries, unspecified",65.652466517856,12.774722201599998,49.10359431436802,0.020276734799999998,UK
Family planning,UK,Ethiopia,22.591926920960002,23.36377224025,5.915752120960001,,UK
Family planning,UK,Iraq,,,1.4032849063200001,,UK
Family planning,UK,Kenya,2.5434362853040002,5.56490042995,3.42397477752,,UK
Family planning,UK,Malawi,11.864699394367998,5.1292410368,3.2151362108800003,,UK
Family planning,UK,Mozambique,0.53100075336,,2.9836012412800006,,UK
Family planning,UK,Myanmar,0.0005645223999999998,0.00092087325,,,UK
Family planning,UK,Nepal,3.5370028360799997,4.2648740577,1.0460255889599999,,UK
Family planning,UK,Nigeria,9.787412346519995,7.810331461249999,2.88915574904,0.26108268444,UK
Family planning,UK,Pakistan,17.727830011439995,19.45663752160001,14.719303308159999,0.39879546029999996,UK
Family planning,UK,Somalia,2.21372874012,3.4472064824,2.1298606031999996,,UK
Family planning,UK,"Tanzania, United Republic of",4.414309727999999,1.6356487158,1.5091401599999998,,UK
Family planning,UK,Uganda,0.8891204938119999,0.85721665331,0.006583265920000001,,UK
Family planning,UK,Zambia,0.42043227215999995,,,,UK
Family planning,UK,Zimbabwe,2.5300540136,2.49552234664,0.176873785088,,UK
Family planning,UNICEF,Afghanistan,0.00313737,0.004667728,0.00204196,0.003485698,UNICEF
Family planning,UNICEF,Colombia,0.036527496,0.036186682,0.016171001,0.00015272,UNICEF
Family planning,UNICEF,Côte d'Ivoire,0.011665871999999999,0.04253868000000001,0.014121782,0.0010952170000000001,UNICEF
Family planning,UNICEF,Dominican Republic (the),0.0,0.0,0.0,0.0,UNICEF
Family planning,UNICEF,Ecuador,0.008424037,0.01855343,0.013592175,0.015639669,UNICEF
Family planning,UNICEF,Guatemala,0.039639028,0.022460212,0.018565844,0.0,UNICEF
Family planning,UNICEF,India,5.0000000000000004e-08,,0.0,,UNICEF
Family planning,UNICEF,Indonesia,,,,0.0,UNICEF
Family planning,UNICEF,Nepal,0.01187181,0.007404074999999999,0.011658014999999999,0.00776898,UNICEF
Family planning,UNICEF,Paraguay,,,,0.0,UNICEF
Family planning,UNICEF,Peru,0.025696308,0.027325157,0.104489712,0.0067490729999999995,UNICEF
Family planning,UNICEF,Sao Tome and Principe,0.001257152,0.005483776,0.0005740160000000001,1.0944e-05,UNICEF
Family planning,UNICEF,Uganda,0.124593,0.17678446099999998,0.061442416,0.005435422999999998,UNICEF
Family planning,UNICEF,Venezuela (Bolivarian Republic of),,,,0.0,UNICEF
Family planning,US,Afghanistan,26.635818570000005,7.02792745,6.084435540000001,,US
Family planning,US,"Africa, regional",0.194744,0.86878123,2.5195746800000003,,US
Family planning,US,"America, regional",2.15381367,0.2439156,0.93513377,,US
Family planning,US,Angola,0.85347265,1.2006594099999999,0.9408299300000001,,US
Family planning,US,Armenia,0.04355951,,,,US
Family planning,US,"Asia, regional",1.78929412,1.0830797100000003,1.3055735799999997,,US
Family planning,US,Azerbaijan,,,0.1,,US
Family planning,US,Bangladesh,1.3251715499999999,0.9992473299999999,7.6998541,,US
Family planning,US,Benin,3.0035674500000002,0.35210128,0.5273828199999999,,US
Family planning,US,Burkina Faso,0.30725,2.06845333,2.12828954,,US
Family planning,US,Burundi,0.24433066,2.6587109300000002,3.57659562,,US
Family planning,US,Cambodia,1.52043106,0.87577653,0.23549467000000002,,US
Family planning,US,Congo (the Democratic Republic of the),13.613438689999999,12.70547275,26.973085010000002,0.4,US
Family planning,US,Côte d'Ivoire,0.00904238,,,,US
Family planning,US,"Developing countries, unspecified",100.68613435999995,113.0876405799999,108.49405334999996,10.94122806,US
Family planning,US,Egypt,3.3292613,2.06238618,4.6544642099999995,,US
Family planning,US,Ethiopia,30.34576946,22.019265129999997,22.616226379999997,,US
Family planning,US,Ghana,-1.3317645999999994,3.6605495099999996,3.48543568,,US
Family planning,US,Guatemala,4.1598818799999995,1.176766,4.00408963,,US
Family planning,US,Guinea,0.85991159,2.1654671000000003,3.6565678399999997,,US
Family planning,US,Haiti,8.09195716,8.574338899999999,7.62714038,,US
Family planning,US,India,9.5568054,12.575904259999998,9.593381759999998,,US
Family planning,US,Japan,,0.00467374,,,US
Family planning,US,Jordan,23.553073340000008,36.279983470000005,21.360130429999998,,US
Family planning,US,Kenya,18.608544940000005,14.300676609999998,7.1843115000000015,,US
Family planning,US,Kyrgyzstan,0.08810715,0.05296141,0.03338663000000001,,US
Family planning,US,Liberia,4.0494723,5.530408680000001,5.09228761,,US
Family planning,US,Madagascar,6.361852470000001,12.785112229999998,6.156254090000001,,US
Family planning,US,Malawi,6.91802589,11.848902079999998,6.456048150000001,,US
Family planning,US,Mali,9.04029112,5.12100526,0.50103495,,US
Family planning,US,"Middle East, regional",,0.00154006,,,US
Family planning,US,Mozambique,4.25070673,2.5675738399999997,7.16123079,,US
Family planning,US,Nepal,8.087582109999998,5.59107599,5.621944269999998,,US
Family planning,US,Niger (the),0.00795625,2.60565522,2.02814132,,US
Family planning,US,Nigeria,18.575101510000003,22.433532940000003,33.487376809999994,,US
Family planning,US,Pakistan,3.89789414,4.76068318,5.472636970000001,,US
Family planning,US,Philippines (the),10.921786129999996,11.3063916,14.23424615,,US
Family planning,US,Rwanda,8.587115439999998,5.91720423,11.042028160000001,,US
Family planning,US,Senegal,16.616235789999998,11.268183759999998,5.73188661,,US
Family planning,US,Sierra Leone,0.05991619,0.02073708,0.14113689,,US
Family planning,US,South Africa,0.0076168,,,,US
Family planning,US,South Sudan,0.39872048,3.29257481,5.128067630000001,,US
Family planning,US,"South of Sahara, regional",6.921169399999999,4.70595258,10.609837740000001,,US
Family planning,US,Tajikistan,-0.02485468,,,,US
Family planning,US,"Tanzania, United Republic of",18.147626690000003,23.371944170000003,16.534352149999997,,US
Family planning,US,Thailand,,0.00026379,,,US
Family planning,US,Timor-Leste,0.86012588,1.22898489,0.10764,,US
Family planning,US,Turkey,0.00012251000000000002,,,,US
Family planning,US,Uganda,17.506512540000003,16.5473222,19.009532860000004,,US
Family planning,US,Ukraine,-0.004714030000000001,,-0.04850676,,US
Family planning,US,Yemen,0.92163509,3.13546193,1.4652325700000004,,US
Family planning,US,Zambia,4.183040759999999,9.383676099999999,8.02592068,,US
Family planning,US,Zimbabwe,3.5241746800000002,1.74680138,1.81427482,,US
Family planning,World Bank,Afghanistan,0.0,0.0,0.0,,World Bank
Family planning,World Bank,Burkina Faso,0.32392708000000003,0.12613648,0.23168423999999999,,World Bank
Family planning,World Bank,Burundi,,0.13739475,0.64014555,,World Bank
Family planning,World Bank,Congo (the Democratic Republic of the),,1.36712328,0.14573536,,World Bank
Family planning,World Bank,Lao People's Democratic Republic (the),1.9721966000000002,0.7255150000000001,0.48790079999999997,,World Bank
Family planning,World Bank,Niger (the),19.570905059999998,1.5533687399999998,1.42893282,0.07207767,World Bank
Family planning,World Bank,Nigeria,,2.8953982000000003,25.0298638,,World Bank
Family planning,World Bank,Pakistan,0.44017836,5.0167243599999995,2.8378398000000002,,World Bank
Family planning,World Bank,Papua New Guinea,,,0.0399312,0.00634344,World Bank
Reproductive health care,Belgium,Benin,0.19688198699999998,1.1661697739999999,,,Belgium
Reproductive health care,Belgium,Burkina Faso,0.181018672,1.5601317732,,,Belgium
Reproductive health care,Belgium,"Developing countries, unspecified",2.239,0.15219017259599998,0.505380221346,,Belgium
Reproductive health care,Belgium,Guinea,0.08093649149999999,0.5552222367999999,,,Belgium
Reproductive health care,Belgium,Rwanda,2.171165017,11.6813660964,,,Belgium
Reproductive health care,Belgium,Senegal,0.08635823,1.4984201540000002,,,Belgium
Reproductive health care,Canada,"Africa, regional",2.18753888,1.16731136,10.055252900000001,,Canada
Reproductive health care,Canada,"America, regional",1.2830988799999998,0.79451136,2.0212829,,Canada
Reproductive health care,Canada,"Asia, regional",1.5845788799999998,0.98091136,3.2503604,,Canada
Reproductive health care,Canada,Bangladesh,4.450996231266822,2.6553011246652054,2.6293802595168643,,Canada
Reproductive health care,Canada,Benin,2.9577800857442753,1.12459928236464,1.4197964273645602,0.20047779607079247,Canada
Reproductive health care,Canada,Bolivia (Plurinational State of),0.01294916896,0.055213100218880005,0.12384475487888003,,Canada
Reproductive health care,Canada,Burkina Faso,0.67833,0.49242279648000004,1.7453512064982,0.3094324862007925,Canada
Reproductive health care,Canada,Burundi,0.3885674215243348,0.10863611613221728,,,Canada
Reproductive health care,Canada,Cambodia,0.172515446771975,0.211434813482884,0.11416853832825,0.0100147800557636,Canada
Reproductive health care,Canada,Cameroon,0.012113718060429999,0.32386067239488003,0.30928152267656,0.09052875,Canada
Reproductive health care,Canada,Canada,0.05408305761763588,0.034983821323944043,0.029948724814911815,,Canada
Reproductive health care,Canada,Colombia,0.311400139104,0.22906858314018305,0.18980141294678257,,Canada
Reproductive health care,Canada,Congo (the Democratic Republic of the),2.3653619769822587,2.000913890338848,1.3909907447465215,,Canada
Reproductive health care,Canada,Côte d'Ivoire,0.5969304,0.24991297562246403,0.373748443124364,,Canada
Reproductive health care,Canada,"Developing countries, unspecified",0.013370712317201692,0.10303107863412753,0.1870790865540031,,Canada
Reproductive health care,Canada,Ecuador,0.012934939103999999,0.13797470021888,0.057078866878880016,,Canada
Reproductive health care,Canada,Egypt,1.13055,0.3728,0.3997,,Canada
Reproductive health care,Canada,El Salvador,0.17719110150000006,0.379888280548224,0.301931287314692,,Canada
Reproductive health care,Canada,Ethiopia,3.0719101250986305,1.2105633455583542,1.377293276761639,1.785713890064,Canada
Reproductive health care,Canada,"Europe, regional",0.587886,0.581568,0.623532,,Canada
Reproductive health care,Canada,Ghana,0.9240471794027562,0.5194712806193335,1.1892707258535264,0.40235,Canada
Reproductive health care,Canada,Guatemala,0.9586743038148953,0.6193934822043886,0.4051150244673352,,Canada
Reproductive health care,Canada,Guyana,0.012934939103999999,0.055213100218880005,0.05707886687888001,,Canada
Reproductive health care,Canada,Haiti,3.09121333824022,2.7789124179009432,2.3731511115509116,,Canada
Reproductive health care,Canada,Honduras,0.7524176381584063,0.7066521769051711,0.4502775839571078,,Canada
Reproductive health care,Canada,Iraq,0.10369223712,0.08238880000000001,0.067949,,Canada
Reproductive health care,Canada,Jamaica,,0.042149330375063035,0.03694724685635256,,Canada
Reproductive health care,Canada,Jordan,,,0.058420152,,Canada
Reproductive health care,Canada,Kenya,0.3058603047117072,0.0503548416,0.27908668602059566,,Canada
Reproductive health care,Canada,Lebanon,,,0.06676588800000001,,Canada
Reproductive health care,Canada,Malawi,0.09017363531855306,0.13727539899647997,0.12794822936308,0.019312799999999998,Canada
Reproductive health care,Canada,Mali,4.63678604001045,3.284545266355025,1.7661509054106037,1.077362439243415,Canada
Reproductive health care,Canada,Mozambique,8.462467672093172,7.4958618592064,8.486549775610694,0.66530326746,Canada
Reproductive health care,Canada,Myanmar,0.5148251041560473,0.456332880558913,0.539595,,Canada
Reproductive health care,Canada,Nicaragua,0.17437747910400003,0.74545088,0.6099422,,Canada
Reproductive health care,Canada,Niger (the),0.5245752,,0.437836772084901,,Canada
Reproductive health care,Canada,Nigeria,1.8489518716517863,1.3024889277982004,1.0403075728246425,0.202297435795,Canada
Reproductive health care,Canada,"North & Central America, regional",,0.1864,,,Canada
Reproductive health care,Canada,"Oceania, regional",,,0.059955,,Canada
Reproductive health care,Canada,Pakistan,0.29488237621992236,0.17529950719999998,0.0129207119590752,,Canada
Reproductive health care,Canada,"Palestine, State of",,,0.06676588800000001,,Canada
Reproductive health care,Canada,Paraguay,0.012934939103999999,,,,Canada
Reproductive health care,Canada,Peru,0.6597683938734166,1.0456336181636947,0.61176834872048,0.90257701675856,Canada
Reproductive health care,Canada,Philippines (the),0.407780117490773,0.8759144771246036,1.1982055183475149,0.13103354290523642,Canada
Reproductive health care,Canada,Rwanda,0.6806914824284565,0.1330685335196027,0.1260886918885608,,Canada
Reproductive health care,Canada,Senegal,0.30848767847242703,1.5670685593138654,1.737416717735272,,Canada
Reproductive health care,Canada,Sierra Leone,0.030826616406000002,0.30287160755200004,0.487300025201101,0.22845264013000002,Canada
Reproductive health care,Canada,Somalia,,0.11184,0.47964,0.1327755,Canada
Reproductive health care,Canada,South Africa,,0.47039680320000005,0.28035977235,0.115386134175,Canada
Reproductive health care,Canada,South Sudan,3.2371000883279684,4.9581839055024,10.252894056072464,0.09309027104,Canada
Reproductive health care,Canada,"South of Sahara, regional",2.6650832,,1.0264296,,Canada
Reproductive health care,Canada,Sudan (the),0.016144254000000004,0.007419244783104001,0.016141717649231998,,Canada
Reproductive health care,Canada,Suriname,0.012934939103999999,,,,Canada
Reproductive health care,Canada,"Tanzania, United Republic of",6.653325518687947,6.5040968436919995,2.856231571847538,0.68377813335,Canada
Reproductive health care,Canada,Togo,0.30750960000000005,0.24991297562246403,0.378544843124364,,Canada
Reproductive health care,Canada,Uganda,,0.37822046234303996,0.5514399123631636,,Canada
Reproductive health care,Canada,Zambia,0.185336578584,0.347158288488,0.3773449692572,,Canada
Reproductive health care,Denmark,"Africa, regional",11.2425,,,-0.02511873936,Denmark
Reproductive health care,Denmark,"Asia, regional",0.277315,0.282865,0.296925,,Denmark
Reproductive health care,Denmark,"Developing countries, unspecified",8.66115497971,1.885748969511,1.758515972505,,Denmark
Reproductive health care,Denmark,Myanmar,-0.000626582,,,,Denmark
Reproductive health care,Denmark,"Tanzania, United Republic of",1.12425,0.0,,,Denmark
Reproductive health care,European Commission,Algeria,,,0.0018021609,,European Commission
Reproductive health care,European Commission,"America, regional",,0.24917230799999998,,,European Commission
Reproductive health care,European Commission,Bangladesh,,0.38238611031,,,European Commission
Reproductive health care,European Commission,Bolivia (Plurinational State of),0.20945792538,,0.19277367611940002,,European Commission
Reproductive health care,European Commission,Cambodia,0.00200181344,,,,European Commission
Reproductive health care,European Commission,Costa Rica,,0.1725316767,,,European Commission
Reproductive health care,European Commission,Côte d'Ivoire,0.16906522394850002,0.10867540135499999,0.0310850185815,,European Commission
Reproductive health care,European Commission,Ethiopia,0.396786973451,0.829475011305,2.524135913775,,European Commission
Reproductive health care,European Commission,Gabon,,0.096363,,,European Commission
Reproductive health care,European Commission,Ghana,-0.046693410357000004,,,,European Commission
Reproductive health care,European Commission,Guatemala,1.80767560941,,1.53996481611,,European Commission
Reproductive health care,European Commission,Honduras,0.89848,1.68075,1.5053919487200003,,European Commission
Reproductive health care,European Commission,India,0.235112775139,0.2241,,,European Commission
Reproductive health care,European Commission,Jamaica,3.324866502694,4.979299290345,1.3905043497270002,,European Commission
Reproductive health care,European Commission,Malawi,,1.44046041093,,,European Commission
Reproductive health care,European Commission,Myanmar,0.5077279594749999,,0.6953211615375,,European Commission
Reproductive health care,European Commission,Namibia,-0.8130671219000001,,,,European Commission
Reproductive health care,European Commission,Nigeria,0.46825411669300004,,,,European Commission
Reproductive health care,European Commission,Philippines (the),0.0074658072499999995,0.1550772,,,European Commission
Reproductive health care,European Commission,Rwanda,,,0.0291538216035,,European Commission
Reproductive health care,European Commission,Sao Tome and Principe,,-0.032990489325000004,,,European Commission
Reproductive health care,European Commission,Sierra Leone,-0.18289908119999998,,,,European Commission
Reproductive health care,European Commission,South Africa,0.3373848555,0.06279633837000001,0.039806713710000004,,European Commission
Reproductive health care,European Commission,"South Asia, regional",0.0151472497,0.0151121835,,,European Commission
Reproductive health care,European Commission,Sudan (the),0.1561109,,,,European Commission
Reproductive health care,European Commission,Viet Nam,0.16294810817999997,0.209750440005,,,European Commission
Reproductive health care,European Commission,Yemen,,9.334037373381,,,European Commission
Reproductive health care,Finland,Afghanistan,2.80775,1.68075,,,Finland
Reproductive health care,Finland,Bangladesh,,,0.169695,,Finland
Reproductive health care,Finland,"Developing countries, unspecified",2.02158,4.089825,8.303742,,Finland
Reproductive health care,Finland,Ethiopia,0.15236437597975,0.3648829815,,,Finland
Reproductive health care,Finland,Malawi,0.2011988726,,,,Finland
Reproductive health care,Finland,Moldova (the Republic of),,,0.032807699999999995,,Finland
Reproductive health care,Finland,Somalia,5.833763254000001,6.779025,5.6565,,Finland
Reproductive health care,Finland,Tajikistan,0.0780588193,,,,Finland
Reproductive health care,Finland,"Tanzania, United Republic of",0.45929736050000003,1.00845,,,Finland
Reproductive health care,Finland,Zimbabwe,,0.020576862,,,Finland
Reproductive health care,Netherlands,Bangladesh,1.211113163,0.9244868248,0.0983149034,0.0650920552,Netherlands
Reproductive health care,Netherlands,Benin,7.719214462999998,4.7581570652,9.0907686828,5.4729446384000004,Netherlands
Reproductive health care,Netherlands,Burkina Faso,,3.2959180716,2.0891716944,,Netherlands
Reproductive health care,Netherlands,Burundi,2.1099988955,0.5878854520000001,6.237452292399999,,Netherlands
Reproductive health care,Netherlands,Congo (the Democratic Republic of the),0.026350791000000002,1.7094,1.6858509458000002,,Netherlands
Reproductive health care,Netherlands,"Developing countries, unspecified",147.62716749950002,128.4818099796,129.5635264406,11.4607591976,Netherlands
Reproductive health care,Netherlands,Ethiopia,23.2916397025,9.6495151368,18.137655292399998,,Netherlands
Reproductive health care,Netherlands,Ghana,,0.05358969,,,Netherlands
Reproductive health care,Netherlands,Kenya,0.0553939795,0.034639281599999995,0.13504849540000002,,Netherlands
Reproductive health care,Netherlands,Mali,7.834695365999999,0.0086860312,7.918639887199999,,Netherlands
Reproductive health care,Netherlands,Mozambique,1.1195,,,,Netherlands
Reproductive health care,Netherlands,Nigeria,0.150763065,0.0,0.017413824399999996,,Netherlands
Reproductive health care,Netherlands,"South of Sahara, regional",8.810993404,11.560763368,5.9929804452,,Netherlands
Reproductive health care,Netherlands,Uganda,7.080839738999999,7.1752817135999996,8.0851233092,,Netherlands
